name,dedication
Библиотека им. И. С. Тургенева г. Новосибирска,им. И. С. Тургенева
Библиотека им. А. С. Макаренко,им. А. С. Макаренко
Детская библиотека № 11 им. П. Морозова г. Перми,им. П. Морозова
Детская библиотека им. Мусы Джалиля г. Малая Вишера,им. М. Джалиля
Библиотека № 3 им. Б. Л. Васильева г. Смоленска,им. Б. Л. Васильева
Библиотека № 10 им. Фёдора Абрамова округа Варавино-Фактория,им. Ф. А. Абрамова
Библиотека-филиал № 15 им. М. С. Петровых,им. М. С. Петровых
Городская библиотека им. А. Н. Ткалуна,им. А. Н. Ткалуна
Специализированная библиотека № 22 им. М. Ю. Лермонтова г. Ульяновска,им. М. Ю. Лермонтова
Алтайская краевая детская библиотека им. Н. К. Крупской,им. Н. К. Крупской
Библиотека им. К. Симонова г. Дзержинска,им. К. Симонова
Качканарская городская библиотека им. Ф. Т. Селянина (взрослая),им. Ф. Т. Селянина
Старотушкинская сельская библиотека им. Л. А. Гребнева,им. Л. А. Гребнева
Библиотека им. К. И. Чуковского,им. К. И. Чуковского
Городская библиотека № 1 им. А. Н. Чепурова,им. А. Н. Чепурова
Детская библиотека им. Н. Н. Носова,им. Н. Н. Носова
Библиотека им. А. Д. Знаменского,им. А. Д. Знаменского
Библиотека № 8 им. П. С. Кириллова,им. П. С. Кириллова
Лузская районная библиотека им. В. А. Меньшикова,им. В. А. Меньшикова
Библиотека-филиал № 22 им. Е. А. Баратынского,им. Е. А. Баратынского
Библиотека № 11 им. О. М. Любовикова,им. О. М. Любовикова
Библиотека-филиал № 24 им. В. М. Шукшина,им. В. М. Шукшина
Библиотека № 7 им. Б. С. Житкова,им. Б. С. Житкова
Центральная библиотека им. А. С. Пушкина г. Сургута,им. А. С. Пушкина
Библиотека-филиал № 12 им. А. Барто,им. А. Л. Барто
Детская библиотека им. А. К. Салтыкова,им. А. К. Салтыкова
Калужская областная специальная библиотека для слепых им. Н. Островского,им. Н. А. Островского
Цепочкинская сельская библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Центральная городская публичная библиотека им. В. Г. Белинского,им. В. Г. Белинского
Библиотека им. Ю. А. Адрианова г. Нижнего Новгорода,им. Ю. А. Адрианова
Библиотека им. А. С. Пушкина г. Новосибирска,им. А. С. Пушкина
Центральная детская библиотека им. А. П. Гайдара г. Ухта,им. А. П. Гайдара
Филиал № 10 – библиотека им. В. М. Шукшина г. Нижнего Новгорода,им. В. М. Шукшина
Детский информационный центр им. А. Гайдара,им. А. П. Гайдара
Синегорская сельская библиотека им. Е. И. Кострова,им. Е. И. Кострова
Муниципальная детская библиотека им. П. С. Комарова,им. П. С. Комарова
Центральная детская библиотека им. С. В. Михалкова,им. С. В. Михалкова
Библиотека им. космонавта А. А. Леонова,им. космонавта А. А. Леонова
Центральная библиотека им. Н. С. Клестова-Ангарского,им. Н. С. Клестова-Ангарского
Красноярская городская библиотека им. Н. Добролюбова,им. Н. А. Добролюбова
Центральная городская библиотека им. А. М. Горького,им. А. М. Горького
Детская библиотека им. М. М. Пришвина г. Переславля-Залесского,им. М. М. Пришвина
Центральная детско-юношеская библиотека им. А. П. Гайдара,им. А. П. Гайдара
Юношеская библиотека № 14 им. И. Сельвинского,им. И. Сельвинского
Модельная библиотека № 14 им. митрополита Макария (Булгакова) г. Старый Оскол,им. митрополита Макария
Центральная детская библиотека им. А. С. Пушкина с. Большое Болдино,им. А. С. Пушкина
Клинская центральная детская библиотека им. А. П. Гайдара,им. А. П. Гайдара
Новоусманская детская библиотека им. А. С. Пушкина,им. А. С. Пушкина
Городская библиотека-филиал № 7 им. Ф. В. Гладкова,им. Ф. В. Гладкова
Детская библиотека – филиал № 7 им. Г. А. Черкашина,им. Г. А. Черкашина
Библиотека им. Н. А. Некрасова г. Новосибирска,им. Н. А. Некрасова
Городская библиотека № 17 г. Пензы им. А. Б. Мариенгофа,им. А. Б. Мариенгофа
Тавровская поселенческая библиотека им. Ю. Н. Говорухо-Отрока – филиал № 27,им. Ю. Н. Говорухо-Отрока
Святославская модельная библиотека – филиал № 18 им. П. Г. Добродомова,им. П. Г. Добродомова
Библиотека № 9 им. Федора Наумова,им. Федора Наумова
Центральная районная библиотека им. Б. А. Можаева,им. Б. А. Можаева
Межпоселенческая центральная библиотека им. С. А. Королева,им. С. А. Королева
Красноярская городская библиотека им. И. Рождественского,им. И. Рождественского
Городская библиотека – филиал № 7 им. Некрасова,им. Н. А. Некрасова
Центральная детская модельная библиотека им. В. И. Воробьева,им. В. И. Воробьева
Научная педагогическая библиотека им. К.Д. Ушинского  ,им. К.Д. Ушинского
Библиотека-филиал им. М. Джалиля – Центр татарской культуры и литературы,им. М. Джалиля
Верхнеуральская городская библиотека им. П. М. Кудряшева,им. П. М. Кудряшева
Центральная городская библиотека им. Н. Байтерякова,им. Н. Байтерякова
Центральная детская библиотека им. Э. Д. Гольцмана,им. Э. Д. Гольцмана
Раздольненская центральная районная библиотека им. А. И. Домбровского,им. А. И. Домбровского
Асовская сельская библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Центральная городская детская библиотека им. А. П. Гайдара г. Новочеркасска,им. А. П. Гайдара
Красноярская городская библиотека им. М. Булгакова,им. М. Булгакова
Центральная городская библиотека им. М. Ю. Лермонтова г. Бородино,им. М. Ю. Лермонтова
Центральная районная библиотека им. И. П. Мордвинова,им. И. П. Мордвинова
Детско-юношеская библиотека им. М. Ю. Лермонтова г. Новочеркасска,им. М. Ю. Лермонтова
Библиотека им. М. А. Лаврентьева,им. М. А. Лаврентьева
Центральная городская детская библиотека им. Н. К. Крупской,им. Н. К. Крупской
Никольская поселенческая библиотека им. А. К. Филатова,им. А. К. Филатова
Библиотека № 90 им. А. С. Неверова г. Москвы,им. А. С. Неверова
Центральная городская библиотека им. Е. Р. Дашковой,им. Е. Р. Дашковой
Верхнетагильская городская библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Филиал № 8 – библиотека им. В. А. Жуковского г. Нижнего Новгорода,им. В. А. Жуковского
Межпоселенческая центральная библиотека им. А. С. Пушкина,им. А. С. Пушкина
Центральная городская библиотека им. Н. Крупской,им. Н. К. Крупской
Решоткинская сельская библиотека им. Ю. П. Артюхина,им. Ю. П. Артюхина
Библиотека-филиал № 3 им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Библиотека им. А. П. Чехова,им. А. П. Чехова
Центральная детская библиотека им. А. Г. Казаковой пгт. Емельяново,им. А. Г. Казаковой
Центральная городская библиотека им. В. И. Муравленко,им. В. И. Муравленко
Троицкая сельская библиотека им. В. И. Ренова,им. В. И. Ренова
Центральная городская библиотека им. М. Горького,им. М. Горького
"Городская библиотека, филиал № 2 им. В. И. Марченко",им. В. И. Марченко
Красноярская городская детская библиотека им. З. Портновой,им. З. Портновой
Центральная городская библиотека им. А. С. Пушкина г. Новочеркасска,им. А. С. Пушкина
Центральная детская библиотека им. А. П. Гайдара,им. А. П. Гайдара
Октябрьская сельская библиотека-филиал им. И. А. Наговицына,им. И. А. Наговицына
Модельная библиотека № 32 им. Г. Н. Троепольского,им. Г. Н. Троепольского
Казанский филиал библиотеки для слепых им. Ш. К. Еникеева,им. Ш. К. Еникеева
Библиотека им. А. Н. Радищева,им. А. Н. Радищева
Ромодановская центральная районная библиотека им. Н. Эркая,им. Н. Эркая
Воронежская областная универсальная научная библиотека им. И. С. Никитина на площади Ленина,им. И. С. Никитина
Библиотека № 1 им. Валерия Алексеева,им. В. Алексеева
Центральная городская библиотека им. Ф. И. Тютчева,им. Ф. И. Тютчева
Библиотека им. А. А. Фадеева г. Новосибирска,им. А. А. Фадеева
Железногорская межпоселенческая библиотека им. Н. М. Перовского,им. Н. М. Перовского
Центральная городская библиотека им. П. Л. Проскурина,им. П. Л. Проскурина
Центральная городская библиотека им. А. С. Пушкина города Туапсе,им. А. С. Пушкина
Центральная городская библиотека им. А. Н. Арцибашева,им. А. Н. Арцибашева
Никольская районная библиотека им. В. Беринга,им. В. Беринга
Библиотека № 1 им. Салтыкова-Щедрина,им. М. Е. Салтыкова-Щедрина
Алапаевская центральная городская библиотека им. А. С. Пушкина,им. А. С. Пушкина
Жулановская сельская библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Библиотека семейного чтения им. И. Зуева,им. И. Зуева
Красноярская городская детская библиотека им. С. Михалкова,им. С. В. Михалкова
Библиотека № 6 им. К. И. Чуковского г. Саранска,им. К. И. Чуковского
Библиотека-филиал им. Л. Н. Толстого,им. Л. Н. Толстого
Старооскольский филиал Белгородской библиотеки для слепых им. В. Я. Ерошенко,им. В. Я. Ерошенко
Городская библиотека-филиал № 3 им. М. Сеспеля,им. М. Сеспеля
Красноярская городская библиотека им. А. Серафимовича,им. А. С. Серафимовича
Центральная библиотека им. Виктора Гаврилина,им. В. Гаврилина
Тюменцевская межпоселенческая центральная библиотека им. Г. В. Егорова,им. Г. В. Егорова
Центральная детская библиотека им. Н. Н. Носова г. Тутаева,им. Н. Н. Носова
Нижне-Сыповская сельская библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
