name,dedication
Центральная районная библиотека им. В. Г. Короленко,им. В. Г. Короленко
Красноярская городская детская библиотека им. Г. Щукина,им. Г. Щукина
Библиотека № 8 им. В. А. Кораблинова г. Воронежа,им. В. А. Кораблинова
Библиотека им. В. М. Мазаева г. Кемерово,им. В. М. Мазаева
Детская библиотека им. А. М. Береснева г. Кемерово,им. А. М. Береснева
Свердловская областная библиотека для детей и молодежи им. В. П. Крапивина,им. В. П. Крапивина
Библиотека им. А. Н. Островского г. Нижнего Новгорода,им. А. Н. Островского
Центральная детская библиотека им. Гайдара г. Зеленодольска,им. А. П. Гайдара
Центральная библиотека им. Ф. Алиевой г. Каспийска,им. Ф. Алиевой
Библиотека № 7 им. В. А. Закруткина,им. В. А. Закруткина
Аннинская центральная библиотека им. Е. П. Ростопчиной,им. Е. П. Ростопчиной
Библиотека-филиал № 5 им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Онежская центральная библиотека им. А. С. Пушкина,им. А. С. Пушкина
Библиотека № 17 им. А. П. Гайдара,им. А. П. Гайдара
Районная детская библиотека им. С. В. Ягуповой,им. С. В. Ягуповой
Специализированная библиотека № 4 им. Е. А. Евтушенко,им. Е. А. Евтушенко
Библиотека им. Н. Некрасова г. Кургана,им. Н. А. Некрасова
Модельная Центральная детская библиотека им. М. Горького,им. М. Горького
Кабардино-Балкарская республиканская детская библиотека им. Бекмурзы Пачева,им. Бекмурзы Пачева
Свердловская областная универсальная научная библиотека им. В. Г. Белинского,им. В. Г. Белинского
Центральная городская библиотека им. А. Уержаа,им. А. Уержаа
Библиотека семейного чтения им. С. Маршака,им. С. Я. Маршака
Детское отделение Мценской межпоселенческой районной библиотеки им. И. С. Тургенева,им. И. С. Тургенева
Центральная городская библиотека им. Л. Н. Толстого г. Севастополя,им. Л. Н. Толстого
Центральная районная библиотека им. Габдуллы Тукая,им. Габдуллы Тукая
Детская библиотека им. А. Чехова,им. А. П. Чехова
Библиотека № 18 им. А. М. Горького,им. А. М. Горького
Детская библиотека им. Афанасия Никитина,им. Афанасия Никитина
Троицко-Печорская межпоселенческая центральная библиотека им. Г. А. Фёдорова,им. Г. А. Фёдорова
Библиотека им. М. Горького г. Лесосибирска,им. М. Горького
Библиотека-филиал им. П. И. Мельникова-Печерского,им. П. И. Мельникова-Печерского
Центральная районная библиотека им. А. П. Чехова г. Санкт-Петербурга,им. А. П. Чехова
Центральная сельская библиотека с. п. им. М. Горького,им. М. Горького
Детский отдел им. В. В. Олефиренко с. Кагальник,им. В. В. Олефиренко
Бубинская библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Центральная библиотека им. А. С. Пушкина г. Ногинска,им. А. С. Пушкина
Центральная детская библиотека им. Б. Васильева,им. Б. Л. Васильева
Библиотека им. Н. Островского,им. Н. А. Островского
Библиотека № 3 им. К. Я. Мамонтова,им. К. Я. Мамонтова
Центральная детская библиотека им. А. П. Гайдара г. Дивногорска,им. А. П. Гайдара
Центральная городская библиотека им. М. В. Ломоносова,им. М. В. Ломоносова
Сардыкская библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Зеленецкая библиотека-филиал им. А. А. Лыюрова,им. А. А. Лыюрова
Центральная универсальная научная библиотека им. Н. А. Некрасова (филиал № 1),им. Н. А. Некрасова
Сельская библиотека – филиал № 10 им. А. Я. Уваровского,им. А. Я. Уваровского
Центральная библиотека семейного чтения им. Н. Войновской,им. Н. Войновской
Хоринская центральная межпоселенческая библиотека им. Д. З. Жалсараева,им. Д. З. Жалсараева
Жешартская библиотека им. С. А. Попова,им. С. А. Попова
Детская библиотека № 8 им. П. П. Бажова,им. П. П. Бажова
Сунтарская районная библиотека им. Л. А. Попова,им. Л. А. Попова
Библиотека-филиал № 4 им. А. С. Новикова-Прибоя,им. А. С. Новикова-Прибоя
Библиотека-филиал № 11 им. К. Станюковича,им. К. Станюковича
Библиотека-филиал им. В. Г. Короленко,им. В. Г. Короленко
Молодежная библиотека – филиал № 18 им. М. Горького,им. М. Горького
Центральная районная библиотека им. К. Л. Мхце,им. К. Л. Мхце
Детская библиотека им. А. П. Гайдара,им. А. П. Гайдара
Детская библиотека им. В. В. Бианки,им. В. В. Бианки
Удомельская центральная библиотека им. Н. А. Зворыкина,им. Н. А. Зворыкина
Красноярская городская детская библиотека им. О. Кошевого,им. О. Кошевого
Библиотека им. Л. А. Никоновой г. Новокузнецка,им. Л. А. Никоновой
Центральная районная детская библиотека им. Н. А. Зайцева,им. Н. А. Зайцева
Детская библиотека № 10 им. М. М. Пришвина,им. М. М. Пришвина
Петровская сельская библиотека им. А. Г. Архангельской,им. А. Г. Архангельской
Библиотека национальных литератур России и зарубежных стран им. Н. А. Некрасова,им. Н. А. Некрасова
Библиотека им. А. Пискунова,им. А. Пискунова
Краеведческая библиотека им. А. Ф. Землянского,им. А. Ф. Землянского
Красноярская городская библиотека им. А. Пушкина,им. А. С. Пушкина
Сорвижская сельская библиотека им. Т. И. Смертиной,им. Т. И. Смертиной
Центральная городская библиотека им. А. С. Пушкина г. Симферополя,им. А. С. Пушкина
Рожкинская сельская библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Биробиджанская областная универсальная научная библиотека им. Шолом-Алейхема,им. Шолом-Алейхема
Библиотека им. Бориса Минаевича Каспарова,им. Б. М. Каспарова
Специализированная библиотека № 6 им. Д. А. Гранина,им. Д. А. Гранина
Городская библиотека семейного чтения им. Дмитриева,им. Дмитриева
Библиотека № 14 им. М. Ю. Лермонтова г. Перми,им. М. Ю. Лермонтова
Библиотека им. А. А. Фета г. Орла,им. А. А. Фета
Детско-юношеская библиотека им. И. С. Тургенева г. Новочеркасска,им. И. С. Тургенева
Библиотека им. А. Беляева,им. А. Р. Беляева
Центральная городская муниципальная библиотека им. Л. Н. Толстого,им. Л. Н. Толстого
Центральная районная библиотека им. С. С. Васильева-Борогонского,им. С. С. Васильева-Борогонского
Отдел «Общение» Центральной городской библиотеки им. А. М. Каутского,им. А. М. Каутского
Библиотека № 2 им. А. В. Кольцова,им. А. В. Кольцова
Красноярская городская детская библиотека им. В. Дубинина,им. В. Дубинина
Чернохолуницкая сельская библиотека им. В. А. Труфакина,им. В. А. Труфакина
Центральная городская библиотека им. А. П. Чехова,им. А. П. Чехова
Библиотека им. А. В. Селиванова г. Сергиева Посада,им. А. В. Селиванова
Центральная районная детская библиотека им. В. Г. Белинского г. Нижнего Новгорода,им. В. Г. Белинского
Городская библиотека № 4 им. В. П. Астафьева,им. В. П. Астафьева
Библиотека им. Ф. Г. Кедрова г. Ижевска,им. Ф. Г. Кедрова
Библиотека им. Н. Г. Чернышевского,им. Н. Г. Чернышевского
Карачевская межпоселенческая районная библиотека им. Н. Н. и Н. В. Баранских,им. Н. Н. и Н. В. Баранских
Карьерская сельская библиотека – филиал им. И. И. Куренкова,им. И. И. Куренкова
Библиотека им. В. Шишкова,им. В. Я. Шишкова
Филиал № 2 – библиотека им. Декабристов,им. Декабристов
Красноярская городская библиотека им. А. Фадеева,им. А. А. Фадеева
Библиотека № 6 им. Ф. Ф. Павленкова с. Ваньки,им. Ф. Ф. Павленкова
Библиотека им. С. В. Михалкова,им. С. В. Михалкова
Центральная библиотека им. А. Г. Дементьева,им. А. Г. Дементьева
Детская библиотека № 8 им. Н. Островского,им. Н. А. Островского
Турочакская центральная библиотека им. В. М. Башунова,им. В. М. Башунова
Библиотека им. Д. С. Лихачева,им. Д. С. Лихачева
Центральная городская библиотека им. Ф. А. Семенова г. Курска,им. Ф. А. Семенова
Городская детская библиотека-филиал № 1 им. С. Я. Маршака,им. С. Я. Маршака
Библиотека № 44 им. В. Г. Короленко (филиал № 2),им. В. Г. Короленко
Арзамасская центральная районная библиотека им. И. Н. Сахарова,им. И. Н. Сахарова
Центральная городская библиотека им. Е. И. Носова,им. Е. И. Носова
Зеленоградская центральная библиотека им. Ю. Н. Куранова,им. Ю. Н. Куранова
Центральная библиотека им. Горького,им. М. Горького
Центральная районная библиотека им. Н. В. Гоголя г. Санкт-Петербурга,им. Н. В. Гоголя
Библиотека № 44 им. В. Г. Короленко (филиал № 3),им. В. Г. Короленко
Детская библиотека-филиал № 15 им. С. Я. Маршака,им. С. Я. Маршака
Тугулымская центральная районная детская библиотека им. А. П. Гайдара,им. А. П. Гайдара
Центральная детская библиотека им. Н. Островского,им. Н. А. Островского
Центральная городская библиотека «Smart-библиотека им. Н. Д. Неустроева»,им. Н. Д. Неустроева
Центральная районная детская библиотека им. А. М. Горького г. Нижнего Новгорода,им. А. М. Горького
Просветительский центр им. С. Т. Аксакова «Аленький цветочек»,им. С. Т. Аксакова
Модельная центральная библиотека им. В. Н. Татищева,им. В. Н. Татищева
Красненская сельская библиотека-клуб им. Г. С. Малеванкиной,им. Г. С. Малеванкиной
Филатовская сельская библиотека им. Г. Н. Веговой,им. Г. Н. Веговой
Луковецкая библиотека им. Ю. Т. Мамонтова,им. Ю. Т. Мамонтова
Библиотека № 44 им. В. Г. Короленко (филиал № 1),им. В. Г. Короленко
Кирсинская центральная библиотека им. Г. М. Вяземского,им. Г. М. Вяземского
"Библиотека № 17 им. А. Н. Радищева, г. Кострома",им. А. Н. Радищева
Библиотека им. А. С. Серафимовича г. Нижнего Новгорода,им. А. С. Серафимовича
Модельная библиотека им. К. Аухатова с. Старый Курдым,им. К. Аухатова
Центральная библиотека им. А. Ф. Орлова,им. А. Ф. Орлова
Центральная библиотека им. М. М. Зощенко,им. М. М. Зощенко
Юношеская модельная библиотека им. А. С. Васильева № 1,им. А. С. Васильева
Центральная городская библиотека им. А. С. Пушкина г. Кострома,им. А. С. Пушкина
Городская детская библиотека – филиал № 2 им. К. И. Чуковского,им. К. И. Чуковского
Библиотека им. М. А. Шолохова г. Шахты,им. М. А. Шолохова
Библиотека им. Н. Носова г. Новочебоксарска,им. Н. Н. Носова
Детский филиал Ясногорской Центральной библиотеки им. В. В. Вересаева,им. В. В. Вересаева
Яйвинская библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Введено-Готнянская модельная библиотека – филиал № 8 им. В. В. Курбатова,им. В. В. Курбатова
Центральная библиотека им. М. В. Наумова,им. М. В. Наумова
Красноярская городская детская библиотека им. С. Маршака,им. С. Я. Маршака
Центральная улусная модельная библиотека им. Н. М. Рыкунова,им. Н. М. Рыкунова
Библиотека им. В. В. Маяковского,им. В. В. Маяковского
Специализированная детская библиотека № 27 им. С. В. Михалкова,им. С. В. Михалкова
Библиотека им. Александра Ивановича Куприна г. Армавира,им. А. И. Куприна
Библиотека № 22 им. И. А. Бунина,им. И. А. Бунина
Библиотека им. П. А. Заломова г. Нижнего Новгорода,им. П. А. Заломова
Нившерская библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Красноярская городская библиотека им. Н. Некрасова,им. Н. А. Некрасова
Библиотека-филиал № 39 им. С. Скитальца,им. С. Скитальца
Филипповская библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Библиотека № 13 им. А. В. Луначарского г. Костромы,им. А. В. Луначарского
Библиотека-филиал № 8 им. В. В. Парамонова г. Воткинск,им. В. В. Парамонова
Библиотека «Родник» им. С. А. Золотцева,им. С. А. Золотцева
Библиотечно-информационный центр им. В. Г. Еремина,им. В. Г. Еремина
Юношеская библиотека им. А. Гайдара,им. А. П. Гайдара
Центральная библиотека им. А. П. Чехова г. Владивостока,им. А. П. Чехова
Библиотека им. М. Светлова – литературно-эстетический центр,им. М. Светлова
Черновская сельская библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Библиотека им. М. Ю. Лермонтова,им. М. Ю. Лермонтова
"Городская библиотека им. Э. Н. Успенского, филиал № 6",им. Э. Н. Успенского
Библиотека № 11 им. Я. Гашека,им. Я. Гашека
"Городская библиотека им. В. С. Топилина, филиал № 8",им. В. С. Топилина
Центральная городская библиотека им. П. П. Бажова,им. П. П. Бажова
Городской филиал Ясногорской центральной библиотеки им. В. В. Вересаева,им. В. В. Вересаева
Библиотека им. А. Пушкина г. Азова,им. А. С. Пушкина
Центральная библиотека им. Ю. Гагарина г. Новочебоксарска,им. Ю. А. Гагарина
Центральная библиотека им. Н. Рубцова,им. Н. М. Рубцова
Библиотека им. И. У. Басаргина,им. И. У. Басаргина
Красноярская городская детская библиотека им. К. Чуковского,им. К. И. Чуковского
"Библиотека им. М. М. Пришвина, филиал № 4",им. М. М. Пришвина
Детская библиотека им. С. Я. Маршака г. Заволжье,им. С. Я. Маршака
Усть-Телесская сельская библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Переславская городская библиотека им. А. Невского,им. А. Невского
Библиотека № 1 им. А. С. Грибоедова. Отдел чтения для детей и юношества,им. А. С. Грибоедова
Центральная районная библиотека им. 1 Мая,им. 1 Мая
Библиотека им. М. Горького г. Новочеркасск,им. М. Горького
Библиотека № 4 им. М. Соколова,им. М. Соколова
Библиотека им. Н. Некрасова г. Рыбинска,им. Н. А. Некрасова
Филиал № 5 – библиотека им. К. А. Тимирязева г. Нижнего Новгорода,им. К. А. Тимирязева
Новомирская сельская библиотека-филиал им. А. Б. Нейдгарта,им. А. Б. Нейдгарта
Библиотека им. А. А. Блока г. Новосибирска,им. А. А. Блока
Библиотека-филиал им. Ленинского комсомола,им. Ленинского комсомола
Краснодарская краевая универсальная научная библиотека им. А. С. Пушкина,им. А. С. Пушкина
Центральная районная библиотека им. А. С. Пушкина г. Санкт-Петербурга,им. А. С. Пушкина
Областная юношеская библиотека им. А. А. Суркова,им. А. А. Суркова
Красногорская сельская библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Библиотека им. Г. Е. Николаевой,им. Г. Е. Николаевой
Красноярская городская детская библиотека им. Б. Житкова,им. Б. Житкова
Хлевищенская модельная библиотека им. Н. П. Рыжих,им. Н. П. Рыжих
Детская библиотека им. А. С. Пушкина г. Иркутска,им. А. С. Пушкина
Судинская сельская библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Зашижемская сельская библиотека им. Ю. С. Розадорского,им. Ю. С. Розадорского
Бымовская библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Центральная городская библиотека им. Н. В. Гоголя,им. Н. В. Гоголя
Центральная районная библиотека им. В. Н. Ганичева,им. В. Н. Ганичева
Центральная муниципальная библиотека им. Н. А. Некрасова,им. Н. А. Некрасова
Большенеклиновский отдел им. В. Г. Саранских с. Большая Неклиновка,им. В. Г. Саранских
Немская центральная библиотека им. М. И. Ожегова,им. М. И. Ожегова
Библиотека № 1 им. Н. А. Островского,им. Н. А. Островского
Центральная городская библиотека им. А. А. Азовского,им. А. А. Азовского
Красноярская городская библиотека им. В. Маяковского,им. В. В. Маяковского
Центральная библиотека им. В. Г. Короленко,им. В. Г. Короленко
Библиотека «Таврика» им. А. Х. Стевена – научная библиотека Центрального музея Тавриды,им. А. Х. Стевена
Свердловская областная библиотека для детей и молодежи им. В. П. Крапивина на ул. Советской,им. В. П. Крапивина
Центральная городская библиотека им. Н. Островского,им. Н. А. Островского
Центральная городская библиотека им. В. В. Верещагина,им. В. В. Верещагина
Центральная библиотека им. С. Сулеймановой,им. С. Сулеймановой
Октябрьская библиотека № 2 им. Н. К. Жернакова,им. Н. К. Жернакова
Библиотека им. А. П. Чехова г. Дзержинска,им. А. П. Чехова
Библиотека-филиал № 11 им. К. Г. Паустовского,им. К. Г. Паустовского
Заборьинская сельская библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Центральная детская библиотека им. А. П. Гайдара г. Ачинска,им. А. П. Гайдара
Большенагаткинская районная библиотека им. А. С. Пушкина,им. А. С. Пушкина
Павловская центральная библиотека им. А. С. Пушкина,им. А. С. Пушкина
Центральная библиотека им. В. В. Розанова г. Сергиев Посад,им. В. В. Розанова
Калужская городская библиотека – филиал № 8 им. Есенина,им. С. А. Есенина
Красноярская городская библиотека им. М. Светлова,им. М. Светлова
Кайская сельская библиотека-филиал им. М. М. Синцова,им. М. М. Синцова
Центральная районная библиотека им. Т. Г. Шевченко,им. Т. Г. Шевченко
Библиотека им. В. М. Шукшина г. Новочеркасска,им. В. М. Шукшина
Ангинская сельская библиотека им. А. П. Щапова,им. А. П. Щапова
Городская библиотека им. В. А. Замыслова,им. В. А. Замыслова
Библиотека № 19 им. А. Т. Прасолова,им. А. Т. Прасолова
Барсаевская сельская библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Библиотека им. С. А. Есенина,им. С. А. Есенина
Библиотека им. М. Шумилова (филиал № 8),им. М. Шумилова
Библиотека семейного чтения № 2 им. М. Горького,им. М. Горького
Центральная библиотека им. И. А. Мухлынина,им. И. А. Мухлынина
Библиотека им. Н. В. Волкова села Елового,им. Н. В. Волкова
Любимская центральная библиотека им. А. С. Пушкина,им. А. С. Пушкина
Центральная библиотека им. А. С. Пушкина г. Малая Вишера,им. А. С. Пушкина
Софринская библиотека им. Ф. И. Тютчева,им. Ф. И. Тютчева
Воробьевская библиотека им. А. А. Романова,им. А. А. Романова
Детская библиотека-филиал № 16 им. Н. И. Подлесовой,им. Н. И. Подлесовой
Детская библиотека им. К. И. Чуковского,им. К. И. Чуковского
Детско-юношеская библиотека им. С. В. Михалкова,им. С. В. Михалкова
Хватовская сельская библиотека-филиал им. М. В. Шестерикова,им. М. В. Шестерикова
Центральная городская библиотека им. А. С. Пушкина,им. А. С. Пушкина
Детский отдел Центральной библиотеки им. К. А. Кислова,им. К. А. Кислова
Центральная библиотека им. Л. А. Малюгина,им. Л. А. Малюгина
Красноярская городская библиотека им. А. М. Горького,им. А. М. Горького
Центральная библиотека им. А. С. Пушкина г. Старый Оскол,им. А. С. Пушкина
Центральная детская библиотека им. В. С. Рыжакова,им. В. С. Рыжакова
Библиотека № 7 им. В. Л. Шокалюка,им. В. Л. Шокалюка
Библиотека № 1 им. М. В. Фрунзе,им. М. В. Фрунзе
Библиотека-читальня им. И. С. Тургенева (строение 2),им. И. С. Тургенева
Библиотека им. М. Горького,им. М. Горького
Центральная библиотека им. С. Ю. Володиной,им. С. Ю. Володиной
Библиотека № 8 им. Ф. Ф. Павленкова с. Вассята,им. Ф. Ф. Павленкова
Библиотека № 2 им. Н. А. Некрасова,им. Н. А. Некрасова
Михайловская центральная библиотека им. Н. М. Перовского,им. Н. М. Перовского
Модельная специализированная детская библиотека № 24 им. А. С. Пушкина,им. А. С. Пушкина
Библиотека-филиал № 7 им. Гайдара г. Орска,им. А. П. Гайдара
Центральная библиотека им. Габдуллы Тукая,им. Габдуллы Тукая
"Детская библиотека им. А. П. Гайдара г. Ярославля, филиал № 1",им. А. П. Гайдара
