id,text,date,cause
236360,"Радий Николаевич! Поздравляем Вас, всей семьей, с днём рождения! Желаем Вам, самое главное — здоровья! Желаем в жизни только весенних дней, радостных и солнечных. Ну, а так как жизнь не бывает без огорчений, то пусть они будут кратковременными, как редкие облака на чистом весеннем небе и таким же проходящими, как весенние грозы. Все мы Попелыгины P.S. Это — дед Радий и внуки 3.12.76 г.",1976-12-03,birthday
250023,"Дорогая моя Аля! Поздравляю с днем рождения Желаю счастья, здоровья На долгие годы твоя мама 15/12-62",1962-12-15,birthday
250710,"Любимый наш <u>Юленька</u>! Поздравляем тебя с днем рождения! <u>5 лет</u> - это уже немало [^не мало], ты должен все понимать и расти послушным умным и сообразительным. Целуем крепко, твои родители и бабушка. 8 марта 1990г. Уфа",1990-03-08,birthday
243098,"г. Ленинград 8/21 ноября 1963. Дорогую нашу Катюшу. поздравляем с днем рождения, желаем большого-крепкого здоровья, спокойного безмятежного отдыха и полного благополучия в жизни Крепко Вас обнимаем Ваши старые друзья {Валя Тося Вера Ивановна [?Ксеня] Елена Ивановна Тося. Нина Алексан[дровна] Тамара Альбина Елена [?Василь[евна]] Т[етя] [?Таня] Аида}",1963-11-08,birthday
227675,"Дорогой братик! Сердечно поздравляю тебя с днем рождения! Желаю тебе крепкого здоровья и всего самого, самого наилучшего целую Света 1/XI 79",1979-11-01,birthday
219718,"Дорогая наша Танечка! В твой торжественный и славный юбилей-десятилетие, от всей души поздавляем тебя с днем Рождения! Желаем тебе здоровья, успехов в скрипичной игре и отличных успехов в школьных занятиях! Живи, расти и развивайся на радость всей нашей Родины! Крепко тебя обнимаем и целуем. Любящие тебя: папа, мама, дедушка. <Таганрог. 12.05.1961 год.>",1961-05-12,birthday
103621,"20/I.1906 г.
Сердечно поздравляем с днем рождения. [? Юревич] с семейством",1906-01-20,birthday
223757,Поздравляю с днем рождения и желаю всего хорошего. Гузя. 11/I-36 г.,1936-01-11,birthday
223556,"23/ix - 1909 г. пущено письмо божье
Поздравляю с днём рождения и желаю тебе всего наилучшего в твоей спитальнической жизни. Твой старый слуга до гроба поручик А. А. Чичиков-Аменов.",1909-09-23,birthday
228052,"Милая Авочка! Сердечно поздравляю тебя с днем рождения! Здоровья тебе, счастья, долгих лет жизни. Извини, что мало пишу. На правой руке нарывает палец, пишу с трудом. Привет тебе от Вл. Ник. Целую Нина {16/XI - 79 г.}",1979-11-16,birthday
239659,"Дорогая Гелия Андреевна! Поздравляем Вас с Днем Рождения! Желаем всего самого хорошего, здоровья и успехов. 29.02.80 г. Валя <подпись>",1980-02-29,birthday
2963,"Поздравляю Нину с днем рождения, Танечку тоже с прошедшем днем рождения, а также поздравляю и Нину и Таню и Юру с Новым годом 1968 г. Желаю здоровия (не болеть) счастья и успеха в делах: сожалею что не могу быть у вас на новый год и у Танечке на елке. Шлю Танечке трусишки шелков.[ые] [нрзб] шерстяные, кулончик на шейку и 2 шоколадки. Нине сувенирную коробку Красной Москвы. Шлю это из города на почте а потом пойду прихрамывая с палочкой к Татьяне Ивановне. Письмо получил и рад что у Тане нет опасного. Целую крепко Отец и дедушка",1967-12-26,birthday
246760,"Вася! От души поздравляем тебя с днем рождения! Желаем доброго здоровья, счастья, успехов в труде. желаем веселого настроения! Протасоны, Сучковы, Рябцевы, Кудрявцева, Буданцева 24/I - 1970 г.",1970-01-24,birthday
238595,"Дорогая Катя! Сердечно поздравляю тебя с днем рождения! Желаю здоровья на долгие годы, счастья в жизни и радостных дней в твоей жизни. Не знаю почему ты не пишешь все ли хорошо со здоровьем? Не знаю, когда пишу тебе передо мной [?вешает] картина нашей молодежи лучших дней в жизни, а теперь я угасаю с каждым днем и так делается грустно на душе. Сейчас мое единственное счастье. {Привет от Гали и Марковых} {Сейчас мое единственное счастье что я не так одинока. Целую тебя. Шура} {21/VII 55}",1955-07-21,birthday
229249,Дорогая Таня! Поздравляю тебя с Днем Рождения! Желаю быть здоровой и очень умной. твоя любимая бабушка. Агафья Степановна. 23/I.59г.,1959-01-23,birthday
227058,"Дорогую Танечку поздравляю с Днем рождения! Желаю много-много счастья в жизни, успехов в учебе, отличного здоровья. Светлана",1962-10-26,birthday
252032,"Дорогая Лена, поздравляю Тебя с праздкиками [^праздником] 1-го Мая, желаю всего всего наилучшего. Большое спасибо за поздравление с днем рождения. И тебя тоже с наступающим. Живу хорошо. Планируем приехать в Ленинград в августе (Думаю, что точно). Обязательно увидимся. Твоя Гуля. {1988.04.29}",1988-04-29,birthday
100156,Дорогая мамочка! Поздравляю тебя с днем рождения! Желаю тебе здоровья и радости. Лена. 4.06.89,1989-06-04,birthday
246960,Дорогой Вадик! Поздравляю Вас с днем рождения «‎Каждому хочется счастья найти:- Любить и быть любимым...»‎ Желаю Вам найти это счастье! С Уважением Анна Николаевна. Магадан. 19.XII.1966 г.,1966-12-19,birthday
218660,"Здравствуйте наши дорогие Шура, Слава, Володя! По приезду[^приезде] написала Вам письмо - ответа не получила. Послала конверт с фотографиями - ответа не получила. (желательно их выслать обратно) Поздравления с праздником не получила. Поздравления с днем рождения не получила. Может быть что-то случилось? Может быть что-то надо? Володя, напиши хотя бы открытку как дела со стройкой? Как себя чувствует Слава? Помню он все жаловался, но устал... У нас сейчас тоже напряжение У Леночки сессия У меня годовой отчет У Саши в школе сумасшествия а все выдержать надо того и вам желаю Саша. Лена. Света. {29/11 78 Терентьева.}",1978-11-29,birthday
