corpus,content,n_syllables,duration
Khislavichi,"Сидят ночами, мычками вот так.",10,2.1159999999999854
Khislavichi,"Всё игрища были такие, что уходи. А сейчас уже всё позатихло.",23,5.402999999999992
Khislavichi,"Ну, ничего, сидели",7,2.7169999999999845
Khislavichi,А у меня дети малые.,9,1.6050000000000182
Khislavichi,Когда  как  Пасха эта.,7,1.5690000000000168
Khislavichi,Это Лопачёва гора.,8,1.4600000000000364
Khislavichi,Околачиваются у меня.,10,1.3260000000000218
Khislavichi,"Что, мало откуда, знаете. Тут кто что гомонят тогда .",17,4.719000000000051
Khislavichi,А те  годы было раньше выгоняли.,12,2.9850000000000136
Khislavichi,"И мотор там стоял в нём, в моторе этом.",12,3.342999999999961
Khislavichi,Да.,1,0.7039999999999509
Khislavichi,"Гуляли, хорошо гуляли.",9,1.9600000000000364
Khislavichi,"Можно было сварить и нарезать кусками, это такое было, поверье.",23,4.954999999999998
Khislavichi,Было помощи никакой не было.,11,2.7270000000000323
Khislavichi,"Ну, мой зять служил в армии, дык армейские эти  наденут ко=.",19,5.186999999999898
Khislavichi,"Уже не, не платили ничего.",10,1.8080000000000496
Khislavichi,Всё время ходили.,6,1.0880000000001928
Khislavichi,Сейчас моя внучка живёт с внуком там  выше.,13,3.6399999999999864
Khislavichi,"Мясо и сало, было всё.",8,1.812000000000012
Khislavichi,"Кусками нарезать, и ели.",9,2.536999999999992
Khislavichi,"Ну, а кто её знает, что будет.",10,2.508000000000038
Khislavichi,"А, что это,",4,1.9600000000000364
Khislavichi,"Было, было такое.",7,1.6029999999999518
Khislavichi,У неё и мужик такой был.,9,1.663000000000011
Khislavichi,"Да, всё запрещено.",6,1.7440000000000282
Khislavichi,"И тёрли в бабки, бабки эти  качали.",12,3.5
Khislavichi,Да.,1,0.37199999999995725
Khislavichi,Только вот лён. Лён и эти  конопли.,11,2.8840000000000146
Khislavichi,каменный.,3,0.8079999999999927
Khislavichi,"Это, деточка, сама лично построила.",13,3.716999999999985
Khislavichi,Никогда никто ничего не подумает.,13,2.4710000000000036
Khislavichi,А так же у меня и де= сколько было всех - пять.,14,2.6119999999999663
Khislavichi,"Ага, безличенная женщина столько лет работает.",17,3.604999999999962
