id,text,date,cause
223840,"{<u>Открытое письмо</u>} 6 июня 1912 года Милый Леська! Сердечно поздравляю Тебя с днем рождения и желаю всего хорошего. Что ж Ты не пишешь? Хорошо ли Ты выдержал экзамены? Я переведена с наградой I<u>ой</u> степени. Что Ты теперь делаешь? Наверно вы уже в деревне. Прошлое воскресенье мы были у тети Ануси на хуторе. Он отчасти напоминает Параскавеевку. Володя и Лора ещё занимаются, а по вечерам ходим вместе гулять. Привет папе, тете, Жуку и Виле от Жени. {Целуем тебя крепко [нрзб]} {Маля} {Собаки не пойдут}",1912-06-06,birthday
251374,"Дорогая Тамара! Поздравляем тебя с днем рождения! Желаем здоровья, счастья, успехов!!! Приглашаем всех Глазковых: Анну Ивановну, Алексея Михайловича, Генадия, Толика и тебя на встречу 1го мая к нам в Стерлитамак. Целуем <подпись>. 13/Ⅳ-62г.",1962-04-13,birthday
247213,"Альбина!!! Поздравляем тебя с днем рождения! Желаем тебе сибирского здоровья, веселого настроения, успехов в работе и учебе, счастья в личной жизни и чего тебе хочется, пусть исполнится. Таня и мама.  3 марта 1974 года. <подпись>",1974-03-03,birthday
228274,"Дорогая бабушка! Поздравляю тебя с Днем рождения. Желаю счастья, здоровья и долгих лет жизни. Твой внук Андрей.",1981-05-24,birthday
101379,"<u>Милая Томка! </u> Эта открытка немного опоздала (почти на месяц), только сегодня она поступила к нам. Но если она опоздала к Новому году, то разреши через эту открытку поздравить тебя с днем рождения. Пока она дойдет до Тюмени и будет день твоего рождения. Крепко целует тебя <u>Ленька</u>. 28.1.42 г.",1942-01-28,birthday
221772,Кума поздравляе [^поздравляем] тибя [^тебя] с днем рождения. Кума и кум. 1962 год. 28 мая. Мама Кресная [^крестная] поздравляю тибя [^тебя] с днем рождения жилаю [^желаю] тибя [^тебе] частья [^счастья] и хорошиго [^хорошего] здоровя [^здоровья] на долгие годы. Твоя кресная [^крестная] Алла.,1962-05-28,birthday
100945,"7 июня 1917. С днем рождения моя дорогая Нонечка! Желаю тебе быть счастливой, здоровой и умницей. Крепко целую тебя, моя голубка, маму, папу, бабу, Борю, Мушку и Павлика! Ездите ли вы в Щурово и когда? Я приеду верно в самом конце или начале августа м.б. [может быть] и мы проехали бы в Щурово. Будьте все здоровы, крепко всех целую. Ваша мама Лида.",1917-06-07,birthday
213614,"Дорогой Петр Васильевич! От всей души поздравляю Вас с днем рождения и наступающим новым годом! Желаю Вам в новом, юбилейном для Вас, году большого счастья, здоровья, успехов в работе и личной жизни. Оставайтесь всегда таким же бодрым, энергичным, но будьте решительнее, смелее, не обращайте внимания на постороннее мнение. От всей души и от всего сердца желаю Вам в новом году найти своё счастье, большое и чтобы оно было очень-очень долгое. Нат[алья] Николаевна",1977-12-28,birthday
250195,Ниночка! Поздравляю с днем рождения и желаю успехов в жизни и учебе и еще хорошо слушаться маму! 17/XI - 58 г[ода] Толя К.,1958-11-17,birthday
237479,Лиля! поздравляю [^Поздравляю] тебя с днем рождения! Желаю тебе всего самого лучшего и в жизни и в работе. Клара 5. XII. 59.,1959-12-05,birthday
225465,Тёте Тоне! Дорогая тётя Тоня поздравляю вас с днём рождения и жилаю[^желаю] вам здоровья и счастия[^счастья] в вашей жизни и работе. внучка Алла,1952-03-14,birthday
243940,"{10-Х-33 г.} Родного и дорого внука Мусика, поздравляем с днем рождения и одиннадцатилетним возрастом, желаем тебе счастья, здоровья, и чтобы ты хорошо учился, и чтобы ты вырос и жил, на радость и утешение своим папочке и мамочке. Маму и папу поздравляем с рождением твоим. Прости что немного опоздали, но я замоталас [^замоталась] c солн. [нрзб] {Крепко любящая тебя твоя бабуня и дедушка}",1933-10-10,birthday
208601,"Дорогая Таня! Поздравляем тебя с днем рождения. Желаем успехов в учёбе и в труде. Бабушка Поля, бабушка Аня, Маруся, Вова, Шурик и Люба.",1963-03-03,birthday
100610,"Милую, дорогую Валюшу сердечно поздравляю тебя дорогая, с днем рождения, желаю здоровья, счастья в жизни, успеха в труде. С уважением Валентина Владимировна. 10.XII–1967 г.",1967-12-10,birthday
100060,"Дорогой дедушка! Поздравляем с днем рождения! Желаем крепкого здоровья, долгих лет жизни и всего наилучшего! Барановы 18/II - 67 г.",1967-02-18,birthday
236857,"г. Ленинград 20 ноября 1964 г. Дорогую Катеньку сердечно поздравляю с днем рождения, желаю тебе моя хорошая – конечно здоровья, полную чашу благополучия в жизни и исполнения всех твоих заветных мечтаний. хотела к тебе заглянуть, но жизнь такая нескладная штука! – все сделает наоборот. Передай большой привет и поздравления Елене Михайл[овне]. Крепко тебя обнимаю любящая тебя Лида М.",1964-11-20,birthday
222007,"<u>Дорогой Саша!</u> Поздравляем тебя с днем Рождения! Энергии, силы, добра и удачи, В делах вдохновения, везенья, пусть будут по силам любые задачи, пусть радость несет День Рожденья [^Рождения]! Здоровья, достатка, счастливых событий, поддержки родных и знакомых, пусть ждет еще множество новых открытий и ждут с нетерпением дома! С любовью Лариса и Вера. 05.05.2013 г. С Рождеством Христовым.",2013-05-05,birthday
228266,"Дорогая Мария В. Поздравляю тебя с днем Рождения. Желаю тебе крепкого здоровья, счастья, благополучия и просто земного счастья. Долгих лет жизни тебе. Целую. Лида.",1985-04-01,birthday
103871,"т[етя] Зина! Вся семья Хохряковых поздравляет вас с Днем рождения и желает бодрости, здоровья, долгих лет жизни и вечной любви своих детей и внуков! Крепко целуем, Зина, Боря, Ванюша. 24/X - 83 г[од]",1983-10-24,birthday
233194,"Дорогая подрушка [^подружка] Валя Поздравляю тебя с днем рожденья Желаю тебе 11 лет. счатье [^счастье], хорошой [^хорошей] учебе  {твоя Лена подруга Курданова и от Таи Плтуховой 12/XII 64г[од]}",1964-12-12,birthday
238216,"{Поздравляю с днем Рождения} света, поздравляю тебя с днем рождение [^рождения]! Желаю чтоб следующий день твоего рождения мы отпраздновали в твоей комнате на 3ем этаже с балконом на солнечную сторону. Я приду с тортом а Галя с Надей принесут фарфоровый чайник. Ты встретишь нас в нежном халатике зайчиками, усадишь на диван-кровать, т.к больше 2х стульев в твоей комнате ни к чему. С секретера свисают листья ожившей традисканции [^традесканции] и коллекция кактусом пополнена. Мы пьем чай и говорим, говорим, как тогда. Солнышко подмигивает в окно: «Пора и совесть иметь, освободить хозяйку от назойливых болтушек». Досвидания [^До свидания], желаем счастье [^счастья]! 10/I 1972 г[од] <подпись>",1972-01-10,birthday
218395,"Поздравляю, Люда, тебя с днем рождения! Желаю тебе здоровья, счастья в семейной жизни, успехов и удач во всех твоих делах и желаниях! целую 18/I -78 г. [?Нелли] Привет Ивану и девчонкам.",1978-01-18,birthday
240798,"{<u>1968 год 26/X</u>} <u>Любушка</u>! Поздравляю тебя с днем рождения, желаю здоровья, счастья, успеха в работе!!! С приветом <подпись>",1968-10-26,birthday
206573,Поздравляю с днем рождения Маркус,1913-09-15,birthday
205784,Дорогой папочка! Поздравляем Тебя с днем рождения и желаем Тебе всего хорошего. Желают Эрика и мама. 16 июля 1915 г.,1915-07-16,birthday
237870,"Догорая Люда! Поздравляем тебя с днем рождения, желаем крепкого здоровья, успехов в труде, отличного настроения, любви и согласия в семье.",1983-08-20,birthday
205032,"Милая, дорогая Галенька!
Поздравляю тебя с днем рождения и желаю тебе всего самого хорошего и прекрасного в твоей 17ти летней жизни.
Порою невзначай, в упор
Ты на меня поднимешь взор,
И, как невиданные птицы,
Взметнутся длинные ресницы,
И я, смущенная взмахом крыл,
Припомню всё, что позабыла:
Что явь и сон — не всё одно,
Что камень падает на дно,
И что чужое счастье мне,
Не улыбнётся и во сне.
         Всякому своё
Всего дороже птичке воля,
Гнездо уютное для сна;
Цветку, поднявшемуся в [нрзб],
Роса обильная нужна.
Трава и камешки цветные
Нужны для ложа ручейку;
Для пчёлки — липы молодые;
Краюшка хлеба — бедняку.
Страдальцу — слово утешенья,
Участье братское людей,
А детям с самого рожденья —
Любовь и ласка матерей.
Несущим крест — любовь, терпенье;
[нрзб] — к познаниям стремленье;
[нрзб] сердца-ж [сердца ж] [нрзб]
                    друг.",1947-05-26,birthday
252032,"Дорогая Лена, поздравляю Тебя с праздкиками [^праздником] 1-го Мая, желаю всего всего наилучшего. Большое спасибо за поздравление с днем рождения. И тебя тоже с наступающим. Живу хорошо. Планируем приехать в Ленинград в августе (Думаю, что точно). Обязательно увидимся. Твоя Гуля. {1988.04.29}",1988-04-29,birthday
251411,Леночка! Поздравляем тебя с днём рождения! Желаем тебе здоровья. Слушайся и помогай маме счастья тебе в жизни.,1989-03-20,birthday
213442,"Наташенька! Поздравляю тебя с днем рождения! Желаю тебе здоровья, счастья, расти большой - большой и веселой. Учиться на 5 и быть жизнерадостной на радость всем. Соня. 22/II-63г.",1963-02-22,birthday
218660,"Здравствуйте наши дорогие Шура, Слава, Володя! По приезду[^приезде] написала Вам письмо - ответа не получила. Послала конверт с фотографиями - ответа не получила. (желательно их выслать обратно) Поздравления с праздником не получила. Поздравления с днем рождения не получила. Может быть что-то случилось? Может быть что-то надо? Володя, напиши хотя бы открытку как дела со стройкой? Как себя чувствует Слава? Помню он все жаловался, но устал... У нас сейчас тоже напряжение У Леночки сессия У меня годовой отчет У Саши в школе сумасшествия а все выдержать надо того и вам желаю Саша. Лена. Света. {29/11 78 Терентьева.}",1978-11-29,birthday
229400,"Дорогая Валюша! Поздравляем тебя с днем рождения. Желаем тебе много, много здоровья, счастья, радости! Любящая тебя ""квартира 14"" 25.XII.63",1963-12-25,birthday
220335,"Дорогая Зиночка. Поздравляем с днем рождения желаем счастья и здоровья твои друзья Клава, Тамара, Рая, Нина и Татьяна Сергеевна 29/X 53г.",1953-10-29,birthday
216319,Поздравляю с днем рождения и желаю тебе всего наилучшего в жизни. Учиться на 5ть и меня почаще вспоминать!,1946-06-15,birthday
233026,"5.XI.72
Поздравляю всех с праздником а братца с днем рождения. Желаю всего самого наилучшего. Я уже снова в Корсакове. Пишите по старому адресу.
Д.",1972-11-05,birthday
227633,"<u>27.12.1982</u> <u>г. [?Реутов]</u> <u>Дорогой Слава</u>, поздравляем тебя с днем рождения. Желаем крепкого здоровья, успехов в работе. семейного счастья и благополучия. Спасибо за письмо! Привет родителям и семье [?Ните]. Будь счастлив и здоров цел[уем] и об[нимаем] кр[епко] мама, папа бабушка",1982-12-27,birthday
100317,Милая Витя! Поздравляем тебя с днем рождения и желаем тебе всего наилучшего. Рая и Фира. {III/V 1923},1923-05-03,birthday
248344,{31 V - 56 г.} Дорогая Шуренька! Поздравляю с днем рождения и желаю скорее быть дома и с хорошим здоровьем. Целую крепко. Саша,1956-05-31,birthday
246760,"Вася! От души поздравляем тебя с днем рождения! Желаем доброго здоровья, счастья, успехов в труде. желаем веселого настроения! Протасоны, Сучковы, Рябцевы, Кудрявцева, Буданцева 24/I - 1970 г.",1970-01-24,birthday
221523,"Дорогой Шурик! Поздравляем тебя с днем рождения! Желаем тебе крепкого здоровья, успехов в труде, отличного настроения, исполнения всех желаний и всего самого наилучшего. {Целуем. Тормозовы. <u>19 октября 1977 года</u>}",1977-10-19,birthday
247018,"Дорогие друзья! Поздравляем всех вас с праздником и Димушку с днем рождения! Желаем всего самого доброго! Моля ви се, не проклинайте нас, потому что мы думаем и помним о вас все время. Будьте здоровы, дорогие наши. Целуем всех. Все Степаненко. 6.X.75. София.",1975-10-06,birthday
227611,"Дорогая Танюша! Поздравляю тебя с днем рождения. Желаю счастья, здоровья, долгих лет жизни, хорошо провести этот праздничный день, а также самых наилучших успехов в труде, в учебе и, разумеется в любви. И еще больше всего желаю исполнения задуманной мечты, хорошо оттдохнуть за оставшиеся дни до школы и самоотверженно встретить новый учебный год. 20/VIII-65 г. Крепко целую твоя подруга Оля [По...]",1965-08-20,birthday
206391,"Дорогая Дудочка! Поздравляем тебя с днем рождения, милая хорошего здоровья, счастья и <s> чтобы не болела нога </s> вообще, <s> желаю </s>  всего что бы ты хотела в твоей личной жизни <подпись> 12 ноября 1905",1905-11-12,birthday
239610,"С днем рождения родная, Наталья Леонидовна! Желаем Вам дорогой наш, необыкновенный человек, всего самого-самого наилучшего в жизни. Будьте бодры и здоровы. Крепко целуем Ваши Миша, Фрида. P.S. Как давно Вы нам не писали о себе. Забыли? Конечно нет! Очень жду весточки. {2/V-58г.}",1958-05-02,birthday
225539,"Дорогая Людмила Викторовна! А жизнь идет. И чем круглее наши даты, тем ярче юности далекие года. Сердечно поздравляю Вас с Днём рождения! Любые отойдут несчастья и в непогоду веселей, когда у Вас так много верных, всегда Вас любящих друзей. Позвольте мне сказать сегодня словами русской старины: Дай Бог Вам доброго здоровья! И долгих лет без горькой седины. Целую. Ваша Маргарита Авенировна. {13.10.96 г}",1996-10-13,birthday
246834,"Дорогая подруга Лариса! Поздравляю тебя с днем рождения. Желаю хороших успехов в учебе, отличного здоровья, счастья в личной жизни, и хорошо отдохнуть, и хорошо провести этот день. 29.9.64 г. Одноклассница Ц. Алла. {И пусть твоя жизнь, также [^так же] будет цветущей, как эти очаровательные розочки.}",1964-09-29,birthday
219972,"С новым наступающим 1950 годом! Боря поздравляю тебя с днем рождения и новым годом! Желаю хорошо провести каникулы, хорошо отдохнуть и с новыми силами приступить к занятиям, чтобы сдать экзамены за 4 класс только на 4 и 5. Привет маме и папе. 27.12.49 г.",1949-12-27,birthday
218690,"Дорогой Вовочка! Поздравляю тебя с днем рождения. Желаю здоровья, счастья, хорошей учебы и всего того, что тебе бы хотелось. Целую крепко крепко любящая тебя Бабуля Москва 18/X-85",1985-10-18,birthday
222792,"5.IX.67 г. Милая, дорогая Марочка! Поздравляю Вас с днем рождения и от всего сердца желаем Вам всего, всего хорошего в Вашей жизни, а главное быть здоровой, веселой и счастливой. И крепко, крепко целую, а папа жмет ручки. Ваши И. и М. [Д...].",1967-09-05,birthday
227718,"Дорогая моя доченька Нели. Поздравляю тебя с днём Рождения . Желаю теб[е] счасте [^счастья] здоровя [^здоровья] хороших успехов в твоей жизни долгих лет жизни . Писть [^пусть] тебе светит радостное солнышко , пусть отходят от тебя грустние [^грустные] минуты . От твоей мамы Головановой М.Г.",1973-07-12,birthday
219888,"Дорогой Толя! Поздравляю с днем Рождения, желаю хорошего здоровья, счастья и успехов в труде целую Юлия",1963-04-24,birthday
223556,"23/ix - 1909 г. пущено письмо божье
Поздравляю с днём рождения и желаю тебе всего наилучшего в твоей спитальнической жизни. Твой старый слуга до гроба поручик А. А. Чичиков-Аменов.",1909-09-23,birthday
104359,"15/VIII-33 г. Дорогой Ванюша! Поздравляем тебя с днем рождения и шлем всякие самые лучшие пожелания. Как недавно был тот день, когда нам сказали, что Ваня родился, — а уже 15 лет прошло! Всех твоих —с новорожденным. Целуем крепко. Дядя [?Гриня] Тетя Ага Сима Люда.",1933-08-15,birthday
236595,"Надюша! Поздравляю с днем рождения! От всей души желаю самого наилучшего в твоей жизни. Целую, Нина. с[ело] Володарское. 23/XII - 1956 г.",1956-12-23,birthday
103042,"Дорогой Сашенька поздравляю тебя с днем рождения, желаю здоровья счастья. Целую тетя Юля 12.08.1956",1956-08-12,birthday
104456,14/VII 1901. Сердечно поздравляю с днем рождения. [?Навсегда] <Андреев>,1901-07-14,birthday
227949,"Дорогой и любимый наш сыночек {и брат} Валеричек... От всего сердца и искренне поздравляем Тебя с Днем Твоего Рождения. Желаем Все мы Тебе счастья в жизни, а также, чтобы исполнились все твои сокравенные [^сокровенные] желания. С Днем рождения Тебя еще раз!!! Папа, мама и брат Ваня.",1975-03-07,birthday
214610,"Ира! Поздравляю тебя с Днем рождения. Желаю тебе всего самого лучшего, отличного здоровья и учебы. Саша 09.01.1971 года. {г. Бобруйск}",1971-01-09,birthday
237484,"Светочка! Поздравляю тебя с Днём рождения! Желаю здоровья, здоровья и ещё раз здоровья, а остальное всё есть и будет. Целую крепко. Лена 1962 год 22 марта",1962-03-22,birthday
216963,"Дорогая Валентина Максимовна! Поздравляю Вас с днем рождения! Желаем Вам крепкого здоровья, бодрого весеннего настроения и побольше солнечных дней в Вашей жизни. Будьте терпеливы и счастливы. <подпись>",1994-05-13,birthday
217315,"{4.2.64 г} С Днем Рождения Дорогая моя Ниночка! Желаем тебе доброго здоровья! самого, наилучшего в твоей жизни! Исполнение[^Исполнения] всех твоих желаний! Целуем все ждем всегда. Березайцы",1964-02-04,birthday
227058,"Дорогую Танечку поздравляю с Днем рождения! Желаю много-много счастья в жизни, успехов в учебе, отличного здоровья. Светлана",1962-10-26,birthday
243026,Дорогая мамочка поздравляю вас с днем рождения. Желаю вас долгих лет жизни и хороших успехов в работе. Желаю еще не расстраиваться. Ваш сын Павлик. 16 декабря 1958 года.,1958-12-16,birthday
228088,"Дорогой папулька! Поздравляем тебя с днем рождения. Желаем счастья, крепкого здоровья, неиссекающего оптимизма и юмора, исполнения всех твоих желаний {Целуем крепко крепко - Гагуся и Сережа 16. VII -87г. }",1987-07-16,birthday
222045,"Дорогая Леночка! Поздравляем тебя с днем рождения и желаем крепкого здоровья, счастья в жизни и хорошой [^ хорошей] учебы Твой дедушка Кузя и Нина Ивановна 13/X 1961 года",1961-10-13,birthday
246971,"Дорогой мой папа! Поздравляю с днем рождения, хочется пожелать хорошего здоровя [^здоровья], только ты его сам береги, а так же [^также] большой и радостной жизни в быту и труде. Сын Леонид. г.Магадан. 28.4.1966 г.",1966-04-28,birthday
239659,"Дорогая Гелия Андреевна! Поздравляем Вас с Днем Рождения! Желаем всего самого хорошего, здоровья и успехов. 29.02.80 г. Валя <подпись>",1980-02-29,birthday
1573,"{г. Одесса, 13 августа 1910 г.} Поздравляю и крепко целую дорогую Наташеньку. Лизочка. Дорогая Наташа, целую и поздраляю тебя с днем рождения. Поцелуй маму, папу, Митю, Раю, Леночку, Колю и Мишеньку. Кланяюсь т. Тане. Будь здорова. Еще раз целую, твой дядя [нрзб]",1910-08-13,birthday
222364,"Дорогой папа! Мама, Таня и я поздравляем тебя с днем рождения. Желаем хорошего здоровья и успехов в работе. Крепко целуем тебя.",1961-12-05,birthday
228126,{1957 г. 5 августа. рождение.} Дорогая моя Внуческа! Оленька поздравляю тебя С днем рождения! желаю тебе здоровья счастья успеха в учебе и во всех делах твоих будь счастлива! обнимаю и целую мою любимую. Бабушка Муся.,1957-08-05,birthday
243248,"Дорогая Женечка, поздравляю тебя с днем рождения. Желаю тебе всего самого доброго. Хорошего здоровья, отличного, праздничного настроения, успехов во всем. Также поздравляю тебя с наступающим Новым 1982 годом!!! Пусть он принесет тебе много радости. Крепко обнимаю <подпись>",1981-12-28,birthday
217673,"Дорогая Нина Дмитриевна! Поздравляю Вас с днем рождения! Желаю Вам долгих лет счастливой жизни, отличного здоровья, успехов в труде, мирного неба и всех земных благ. Целую. Вера Николаевна. 1 февраля 1983 г.",1983-02-01,birthday
216962,"Дорогая Галочка! Поздравляю с Днём рождения! Чтобы быть тебе счастливой, и здоровой, и красивой, быть - орлицей, дома - ласковою[^ласковой] львицей, быть веселой,молодой, вообщем [^в общем], будь сама собой!! Л.Н.",1977-03-07,birthday
223379,Володя! Поздравляем тебя с днем рождения. Желаем тебе отличных успехов в учебе и хорошего настроения. 8 февраля 1962 года Кондаковы,1962-02-08,birthday
208385,"Дорогой Валерий Александрович! Сердечно поздравляю Вас с днём рождения! Желаю вам здоровья, здоровья и здоровья! Наталью Евгеньевну и всех родных поздравляю с именинами! С глубочайшим уважением и любовью, Андрей Матыков. 16 авг 1988",1988-08-18,birthday
223279,"Дорогая Лялюшечка! Поздравляю тебя с Днем рождения, желаю здоровья, счастья, успеха в твоих делах и много лет жизни. Крепко, крепко обнимаю тебя, целую и шлю сердечные пожелания. Зина.",1950-05-01,birthday
225589,<u>Валя!</u> Поздравляю Вас с днем рождения и желаю успеха в учебе Вашей. Валя помни свою подругу С. Галю. Помни совместное учение. Валечке от С. Галины ученицы X класса школы № 6. г.[ород] Йошкар-Ола 30 марта 1944 г.[од],1944-03-30,birthday
225541,"Дорогая Галина! Поздравляю тебя с днём рождения! Желаю тебе отличной учебы, хорошего здоровья, и главное, чтоб сбылась твоя заветная мечта - ты стала бы АРТИСТКОЙ! От Шуры П. {13/III - 62 г.}",1962-03-13,birthday
216367,"Поздравляю тебя Вера с днем рождения и желаю тебе счастья, долгих лет жизни и успех[а] в работе. Пожелаю хорошо [п]ровести данный день.",1964-07-26,birthday
221777,"Валечка! Поздравляю тебя с днем рождения. Желаю тебе счастья, здоровья и отличных успехов в учёбе и труде. Будь всегда, как эта Розочка. {29.08.59г. Р. Павел. Краснодарский край МК-85}",1959-08-29,birthday
3347,"10/X - 41 г.
Здравствуйте дорогие друзья Рафа и Яша!
Пишу вам уже третью открытку, а от вас до сих пор ничего не получил, да и вообще ни одного письма еще не получил. Я не уверен застанет ли вас мое письмо дома, возможно вы находитесь уже в армии и защищаете нашу любимую Москву, а возможно и уехали куда либо с заводом или институтом, но я думаю, что вам передадут мое поздравление с днем рождения, ведь одному из вас исполняется 22 года, а другому 23. Желаю вам еще долгих лет счастливой жизни после победы над проклятым фашизмом. Я нахожусь на фронте, здоров. Напишите мне как вы живете, как наша Москва в эти тяжелые дни. Как мои родители. Известно ли что либо о Шурике, Борисе, Володе, Мише, Павле, Сене. Жду с нетерпением ваших писем. Привет родителям и девушкам. Целую, ваш Лева.",1941-11-10,birthday
221810,"Мама! Поздравляю тебя с днем рождения. Желаю всего наилучшего. Хорошего здоровья, хороших успехов в работе.  23/XII 1968 г. 44 года.",1968-12-23,birthday
213674,"Дорогая Надя! Поздравляем тебя с днем рождения! Желаем тебе крепкого здоровья, успехов в работе и хорошего настроения. Привет дедушке и бабушке. Целуем Набоковы.",1974-09-05,birthday
237427,Поздравляю с днем Рождения дорогую девочку и желаю ей повыше роста и здоровья во второй половине девятнадцатого столетия. Целую крепко в обе щечки. Орлова  {28.12.50..},1950-12-28,birthday
239699,"Дорогая Геля! Поздравляем тебя с днем рождения, желаем здоровья и успехов в работе. Привет Юре и Тане. Целуем Зензиновы г[ород] Киев. 25. II. 68 г[од].",1968-02-25,birthday
225548,Люда! Поздравляем тебя с днем рождения! Желаем крепкого здоровья и всего самого светлого и радостного в жизни! Гаёвы 18/I-80 г[од],1980-01-18,birthday
229249,Дорогая Таня! Поздравляю тебя с Днем Рождения! Желаю быть здоровой и очень умной. твоя любимая бабушка. Агафья Степановна. 23/I.59г.,1959-01-23,birthday
217356,"Дорогая Валечка! Поздравляем тебя с днём рождения. Желаем тебе здоровья, успеха в работе и счастья. Папу и маму поздравляем с новорожденной. Крепко вас целуем. Любящие вас сестры Садиковы",1963-05-15,birthday
221469,"т. Галя! Поздравляю Вас с днем рождения. Желаю Вам успехов в работе и в семейной жизни, живите долго и еикогда [^никогда] не болейте. <подпись>",1981-04-08,birthday
100642,{19 III/V 23} Милая Витя! Поздравляем тебя с днем Рождения и желаем тебе всего наилучшего. <u>Рая и Фира.</u>,1923-05-03,birthday
208362,"Дорогая Эллен! Сердечно поздравляю тебя с днем рождения и желаю тебе всего наилучшего. Извини, что я так опоздал, но Ида мне вчера писала только. Привет всем, всем. Пишите нам, пожалуйста, если у Вас время. Серд[^ный] привет. <подпись>",1917-01-30,birthday
