name,dedication
Библиотека им. З. Космодемьянской г. Нижнего Новгорода,им. З. Космодемьянской
Центральная библиотека им. А. С. Пушкина г. Малая Вишера,им. А. С. Пушкина
Детская библиотека им. С. Я. Маршака г. Кирово-Чепецка,им. С. Я. Маршака
Детский информационный центр им. А. Гайдара,им. А. П. Гайдара
Библиотека-филиал № 39 им. С. Скитальца,им. С. Скитальца
Ставропольская краевая детская библиотека им. А. Е. Екимцева,им. А. Е. Екимцева
Библиотека семейного чтения № 2 им. М. Горького,им. М. Горького
Библиотека № 17 им. А. К. Горбунова г. Иркутска,им. А. К. Горбунова
Центральная районная библиотека им. М. Горького,им. М. Горького
Библиотека им. Л. Красина,им. Л. Красина
Центральная городская библиотека им. А. П. Платонова (читальный зал),им. А. П. Платонова
Центральная городская детская библиотека им. Н. К. Крупской,им. Н. К. Крупской
Библиотека-филиал № 4 им. Е. И. Полянского г. Курска,им. Е. И. Полянского
"Гулькевичская городская детская библиотека им. К. Симонова, филиал № 1",им. К. Симонова
Городская библиотека им. В. М. Шукшина г. Сосновоборска,им. В. М. Шукшина
Малопургинская районная библиотека им. С. Самсонова,им. Ю. С. Самсонова
Детская библиотека – филиал № 7 им. Л. С. Мерзликина,им. Л. С. Мерзликина
Центральная библиотека им. Габдуллы Тукая,им. Габдуллы Тукая
Чернохолуницкая сельская библиотека им. В. А. Труфакина,им. В. А. Труфакина
Центральная районная библиотека им. Г. Ибрагимова,им. Г. Ибрагимова
Центральная городская библиотека им. Д. А. Фурманова,им. Д. А. Фурманова
Филиал № 2 – библиотека им. Декабристов,им. Декабристов
Центральная городская библиотека им. А. П. Чехова,им. А. П. Чехова
Центральная районная библиотека им. О. М. Куваева пос. Свеча,им. О. М. Куваева пос. Свеча
Библиотека № 11 им. Я. Гашека,им. Я. Гашека
Старотушкинская сельская библиотека им. Л. А. Гребнева,им. Л. А. Гребнева
Библиотека им. Ю. Гагарина г. Нижнего Новгорода,им. Ю. А. Гагарина
Библиотека № 19 им. И. С. Тургенева,им. И. С. Тургенева
Библиотека им. А. Ф. Краснова г. Комсомольска-на-Амуре,им. А. Ф. Краснова
Центральная детская библиотека им. П. П. Бажова,им. П. П. Бажова
Вильвенская сельская библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Костромская областная библиотека для детей и молодежи им. А. Гайдара на ул. Симановского,им. А. П. Гайдара
Коношская центральная районная библиотека им. Иосифа Бродского,им. И. Бродского
Онежская центральная библиотека им. А. С. Пушкина,им. А. С. Пушкина
Библиотека им. А. П. Чехова г. Новочеркасска,им. А. П. Чехова
Библиотека-музей № 24 им. П. Д. Пономарева,им. П. Д. Пономарева
Красноярская городская библиотека им. И. Тургенева,им. И. С. Тургенева
Белгородская государственная специальная библиотека для слепых им. В. Я. Ерошенко,им. В. Я. Ерошенко
Библиотека-филиал № 8 им. В. В. Парамонова г. Воткинск,им. В. В. Парамонова
Зашижемская сельская библиотека им. Ю. С. Розадорского,им. Ю. С. Розадорского
Иванцевская библиотека-филиал им. А. М. Бастракова,им. А. М. Бастракова
Центральная библиотека им. А. Г. Дементьева,им. А. Г. Дементьева
Красноярская городская библиотека им. А. Фадеева,им. А. А. Фадеева
Свердловская областная библиотека для детей и молодежи им. В. П. Крапивина,им. В. П. Крапивина
Мокинская сельская библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Молодежная библиотека – филиал № 18 им. М. Горького,им. М. Горького
Ромодановская центральная районная библиотека им. Н. Эркая,им. Н. Эркая
Библиотека семейного чтения им. С. Маршака,им. С. Я. Маршака
Канашская сельская библиотека им. А. П. Воложаниной,им. А. П. Воложаниной
Сельская модельная библиотека – филиал № 9 им. И. Д. Панаева,им. И. Д. Панаева
Серафимовичская центральная районная библиотека им. А. С. Серафимовича,им. А. С. Серафимовича
Библиотека № 8 им. Н. А. Островского г. Перми,им. Н. А. Островского
Заборьинская сельская библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Камчатская краевая детская библиотека им. В. Кручины,им. В. Кручины
Библиотека им. Л. Агакова − филиал № 17,им. Л. Агакова
Межпоселенческая центральная библиотека им. С. А. Королева,им. С. А. Королева
Библиотека-филиал им. М. В. Ломоносова г. Нижнего Новгорода,им. М. В. Ломоносова
Библиотека № 25 им. Всеволода Иванова,им. В. Иванова
Красноярская городская библиотека им. А. Блока,им. А. А. Блока
Центральная городская библиотека им. М. В. Ломоносова,им. М. В. Ломоносова
Кировская областная библиотека для детей и юношества им. А. С. Грина,им. А. С. Грина
Библиотека им. Н. К. Крупской г. Новосибирска,им. Н. К. Крупской
Калужская областная научная библиотека им. В. Г. Белинского,им. В. Г. Белинского
Библиотека им. А. Чехова г. Кургана,им. А. П. Чехова
Межпоселенческая центральная библиотека им. братьев В. и Э. Сафоновых,им. братьев В. и Э. Сафоновых
Слудская библиотека им. А. В. Некрасова,им. А. В. Некрасова
Сельская библиотека – филиал № 2 им. А. П. Чехова,им. А. П. Чехова
Библиотека им. М. Сеспеля – филиал № 13 г. Чебоксары,им. М. Сеспеля
Центральная библиотека семейного чтения им. Н. Войновской,им. Н. Войновской
Шушенская центральная библиотека им. Н. К. Крупской,им. Н. К. Крупской
Аспинская модельная сельская библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Центральная библиотека им. М. В. Наумова,им. М. В. Наумова
Библиотека им. Г. Е. Николаевой,им. Г. Е. Николаевой
Библиотека им. А. И. Герцена г. Нижнего Новгорода,им. А. И. Герцена
Филиал № 7 – библиотека им. Ф. Э. Дзержинского г. Нижнего Новгорода,им. Ф. Э. Дзержинского
Библиотека-филиал № 15 им. М. С. Петровых,им. М. С. Петровых
Центральная библиотека им. Е. И. Аркадьева,им. Е. И. Аркадьева
Старооскольский филиал Белгородской библиотеки для слепых им. В. Я. Ерошенко,им. В. Я. Ерошенко
Центральная городская библиотека им. Ф. А. Семенова г. Курска,им. Ф. А. Семенова
Хабаровская краевая детская библиотека им. Н. Д. Наволочкина,им. Н. Д. Наволочкина
Городская библиотека им. В. А. Чивилихина,им. В. А. Чивилихина
Пионерская библиотека им. А. М. Казанцева,им. А. М. Казанцева
Межпоселенческая центральная библиотека им. А. С. Пушкина,им. А. С. Пушкина
Центральная городская библиотека им. А. С. Пушкина г. Новочеркасска,им. А. С. Пушкина
Городская библиотека № 4 им. К. С. Бадигина г. Пензы,им. К. С. Бадигина
Центральная городская детская библиотека им. Е. А. Пермяка,им. Е. А. Пермяка
Центральная библиотека им. С. Сулеймановой,им. С. Сулеймановой
Библиотека № 3 им. О. Ф. Берггольц г. Санкт-Петербург,им. О. Ф. Берггольц
Центральная детская библиотека № 46 им. И. З. Сурикова – филиал № 3,им. И. З. Сурикова
Центральная городская детская библиотека им. А. П. Гайдара г. Новочеркасска,им. А. П. Гайдара
Библиотека-репозиторий (Никольская) МЦБС им. М.Ю. Лермонтова,им. М. Ю. Лермонтова
Библиотека р. п. им. Цюрупы,им. Цюрупы
Центральная районная библиотека им. А. С. Пушкина г. Сухой Лог,им. А. С. Пушкина
Красноярская городская библиотека им. Я. Свердлова,им. Я. Свердлова
Межпоселенческая библиотека им. В. М. Клыкова,им. В. М. Клыкова
Модельная библиотека-филиал № 7 – Центр башкирской и татарской литературы им. А. Инана,им. А. Инана
Библиотека-читальня им. И. С. Тургенева (строение 2),им. И. С. Тургенева
Городская библиотека № 1 им. А. Н. Чепурова,им. А. Н. Чепурова
Библиотека № 2 им. Федора Абрамова г. Санкт-Петербурга,им. Ф. А. Абрамова
Красноярская городская библиотека им. И. Рождественского,им. И. Рождественского
Библиотека им. М. А. Лаврентьева,им. М. А. Лаврентьева
Библиотека № 9 им. А. В. Жигулина,им. А. В. Жигулина
Казачинская межпоселенческая центральная библиотека им. героя советского союза И. П. Герасимова,им. И. П. Герасимова
Валуйский филиал Белгородской библиотеки для слепых им. В. Я. Ерошенко,им. В. Я. Ерошенко
Библиотека № 44 им. В. Г. Короленко (филиал № 3),им. В. Г. Короленко
Красноярская городская библиотека им. Ленинского комсомола,им. Ленинского комсомола
Детская библиотека им. К. И. Чуковского,им. К. И. Чуковского
Центральная городская детская библиотека им. А. П. Гайдара (отдел обслуживания),им. А. П. Гайдара
Центральная детская библиотека им. С. Я. Маршака,им. С. Я. Маршака
Нижне-Сыповская сельская библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Карачевская межпоселенческая районная библиотека им. Н. Н. и Н. В. Баранских,им. Н. Н. и Н. В. Баранских
Библиотека им. А. А. Блока г. Новосибирска,им. А. А. Блока
Палевицкая библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Библиотека № 13 им. Е. Д. Петряева,им. Е. Д. Петряева
Дульдургинская межпоселенческая центральная библиотека им. Ж. Тумунова,им. Ж. Тумунова
Детская библиотека – филиал № 1 им. А. С. Пушкина г. Советская Гавань,им. А. С. Пушкина
Центральная библиотека им. Александра Ероховца,им. А. Ероховца
Библиотека № 14 им. А. Луначарского г. Тольятти,им. А. В. Луначарского
Сорвижская сельская библиотека им. Т. И. Смертиной,им. Т. И. Смертиной
Ичалковская сельская библиотека им. В. В. Кованова,им. В. В. Кованова
Верхнетагильская городская библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Библиотека-филиал № 14 им. В. Ф. Войно-Ясенецкого,им. В. Ф. Войно-Ясенецкого
Лопатинская сельская библиотека им. В. А. Москвичёва,им. В. А. Москвичёва
Детская библиотека № 19 им. В. П. Стародумова г. Иркутска,им. В. П. Стародумова
Ростовская городская библиотека им. А. А. Титова,им. А. А. Титова
Библиотека им. А. С. Пушкина г. Майского,им. А. С. Пушкина
Детская библиотека № 10 им. М. М. Пришвина,им. М. М. Пришвина
Центральная городская библиотека им. К. Т. Хлебникова,им. К. Т. Хлебникова
Филатовская сельская библиотека им. Г. Н. Веговой,им. Г. Н. Веговой
"Городская библиотека им. В. С. Топилина, филиал № 8",им. В. С. Топилина
Красноярская городская библиотека им. Н. Некрасова,им. Н. А. Некрасова
Библиотека им. Ю. А. Адрианова г. Нижнего Новгорода,им. Ю. А. Адрианова
Центральная детская библиотека им. Л. Чайкиной,им. Л. Чайкиной
Ревдинская центральная городская библиотека им. А. С. Пушкина,им. А. С. Пушкина
Библиотека семейного чтения им. А. Г. Николаева г. Новочебоксарска,им. А. Г. Николаева
Туванская сельская библиотека им. Г. И. Федорова,им. Г. И. Федорова
Специализированная детская библиотека № 27 им. С. В. Михалкова,им. С. В. Михалкова
Специальная городская библиотека искусств им. А. С. Пушкина,им. А. С. Пушкина
Городская библиотека № 7 им. А. И. Куприна г. Пензы,им. А. И. Куприна
Модельная библиотека-филиал им. Ф. И. Васильева,им. Ф. И. Васильева
Юрасовская сельская библиотека им. Н. И. Костомарова,им. Н. И. Костомарова
Центральная районная библиотека им. К. Мечиева,им. К. Мечиева
Библиотека им. Л. Толстого,им. Л. Н. Толстого
Пикшенская библиотека-филиал им. П. К. Любаева,им. П. К. Любаева
Библиотека-филиал № 17 им. М. А. Шолохова,им. М. А. Шолохова
Библиотека № 9 им. М. М. и Е. П. Нарышкиных,им. М. М. и Е. П. Нарышкиных
Областная специальная библиотека им. В. Г. Короленко,им. В. Г. Короленко
Центральная городская библиотека им. П. Л. Проскурина,им. П. Л. Проскурина
Библиотека № 183 им. Данте Алигьери,им. Данте Алигьери
Томаровская поселковая библиотека им. И. А. Чернухина,им. И. А. Чернухина
Дивногорская городская библиотека им. В. Г. Распутина,им. В. Г. Распутина
Библиотека им. И. М. Лаврова г. Новосибирска,им. И. М. Лаврова
Библиотека № 16 им. Г. Жукова,им. Г. Жукова
Библиотека им. Маяковского – филиал № 3,им. В. В. Маяковского
Библиотека № 6 им. К. И. Чуковского г. Саранска,им. К. И. Чуковского
Центральная библиотека № 15 им. В. О. Ключевского,им. В. О. Ключевского
Михайловская сельская библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Центральная городская библиотека им. Ф. Ф. Павленкова г. Верхняя Тура,им. Ф. Ф. Павленкова
Центральная городская библиотека им. Гоголя,им. Н. В. Гоголя
Центральная районная детская библиотека им. Н. А. Зайцева,им. Н. А. Зайцева
Сардыкская библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Детская библиотека № 6 им. В. В. Бианки,им. В. В. Бианки
Детская библиотека № 1 им. А. П. Гайдара г. Перми,им. А. П. Гайдара
Красноярская городская библиотека им. В. Каверина,им. В. Каверина
Библиотека им. В. И. Лунина,им. В. И. Лунина
Библиотека им. А. М. Горького – филиал № 7 г. Краснодара,им. А. М. Горького
Библиотека № 26 им. Л. К. Татьяничевой,им. Л. К. Татьяничевой
Центральная библиотека им. А. С. Пушкина г. Сургута,им. А. С. Пушкина
Библиотека им. Р. Солнцева,им. Р. Солнцева
Центральная библиотека им. А. М. Горького,им. А. М. Горького
Библиотека № 12 им. Н. А. Некрасова,им. Н. А. Некрасова
Центральная детская библиотека им. А. Гайдара,им. А. П. Гайдара
Библиотека-филиал № 10 им. И. А. Куратова,им. И. А. Куратова
Библиотека им. Н. К. Крупской г. Краснодара,им. Н. К. Крупской
Областная детская библиотека им. И. А. Крылова,им. И. А. Крылова
Специализированная библиотека № 6 им. Д. А. Гранина,им. Д. А. Гранина
Районная библиотека им. А. И. Куприна с. Наровчат,им. А. И. Куприна
Городская детская библиотека им. Н. Носова г. Шарыпово,им. Н. Н. Носова
Луковецкая библиотека им. Ю. Т. Мамонтова,им. Ю. Т. Мамонтова
Красноярская городская детская библиотека им. О. Кошевого,им. О. Кошевого
Угодичская библиотека им. А. Я. Артынова,им. А. Я. Артынова
Библиотека № 3 им. В. Г. Гордейчева,им. В. Г. Гордейчева
Библиотека-читальня им. А. С. Пушкина г. Москва,им. А. С. Пушкина
Библиотека им. А. С. Пушкина г. Октябрьска,им. А. С. Пушкина
Библиотека-филиал № 4 им. А. С. Новикова-Прибоя,им. А. С. Новикова-Прибоя
Центральная городская детская библиотека им. А. Гайдара,им. А. П. Гайдара
Центральная универсальная научная библиотека им. Н. А. Некрасова (филиал № 1),им. Н. А. Некрасова
Центральная районная библиотека им. И. Г. Истомина,им. И. Г. Истомина
Межпоселенческая центральная районная библиотека им. И. Г. Зиненко,им. И. Г. Зиненко
Лальская городская библиотека им. И. С. Пономарева,им. И. С. Пономарева
Центральная районная библиотека им. А. П. Чехова г. Санкт-Петербурга,им. А. П. Чехова
Библиотека им. И. А. Гончарова,им. И. А. Гончарова
Библиотека № 1 им. Валерия Алексеева,им. В. Алексеева
Детский отдел библиотеки им. князя Г. Е. Львова,им. князя Г. Е. Львова
Жерлыкская поселенческая библиотека им. И. Ф. Котляра,им. И. Ф. Котляра
Библиотека им. А. С. Серафимовича г. Нижнего Новгорода,им. А. С. Серафимовича
Библиотека-филиал № 4 им. Г. К. Дерман,им. Г. К. Дерман
Центральная детская библиотека им. А. С. Пушкина г. Сарова,им. А. С. Пушкина
Центральная городская библиотека им. А. С. Пушкина г. Перми,им. А. С. Пушкина
Библиотека им. Д. Н. Мамина-Сибиряка,им. Д. Н. Мамина-Сибиряка
Библиотека им. М. Е. Салтыкова-Щедрина города Ельца,им. М. Е. Салтыкова-Щедрина
Cтаротимошкинская поселковая модельная библиотека им. З. Акчуриной-Гаспринской,им. З. Акчуриной-Гаспринской
Отдел «Общение» Центральной городской библиотеки им. А. М. Каутского,им. А. М. Каутского
Геленджикский филиал Краснодарской библиотеки для слепых им. А. П. Чехова,им. А. П. Чехова
Библиотека семейного чтения им. И. Зуева,им. И. Зуева
Ясногорская центральная библиотека им. В. В. Вересаева,им. В. В. Вересаева
Нытвенская городская библиотека им. Ф. Ф. Павленкова – филиал № 23,им. Ф. Ф. Павленкова
Городская библиотека-филиал № 4 им. В. В. Маяковского,им. В. В. Маяковского
Библиотека им. А. А. Фадеева г. Новосибирска,им. А. А. Фадеева
Советская центральная библиотека им. А. С. Крупнякова,им. А. С. Крупнякова
Библиотека им. А. С. Попова,им. А. С. Попова
Библиотека им. М. Горького г. Кургана,им. М. Горького
Центральная городская детская библиотека им. А. П. Гайдара,им. А. П. Гайдара
Библиотека-филиал № 3 им. И. П. Котляревского,им. И. П. Котляревского
Библиотека-филиал № 16 им. Хусаина Ямашева,им. Хусаина Ямашева
Неволинская библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Библиотека № 9 им. Федора Наумова,им. Федора Наумова
Городская библиотека им. Ю. Р. Кисловского,им. Ю. Р. Кисловского
Библиотека им. В. В. Маяковского,им. В. В. Маяковского
Центральная районная библиотека им. М. Б. Доржу,им. М. Б. Доржу
Библиотека им. С. Есенина г. Азова,им. С. А. Есенина
Троицко-Печорская межпоселенческая центральная библиотека им. Г. А. Фёдорова,им. Г. А. Фёдорова
Библиотека-филиал № 3 им. И. А. Бурмистрова,им. И. А. Бурмистрова
Библиотека № 6 им. Ф. Ф. Павленкова с. Ваньки,им. Ф. Ф. Павленкова
Детская библиотека им. А. М. Матросова,им. А. М. Матросова
Введено-Готнянская модельная библиотека – филиал № 8 им. В. В. Курбатова,им. В. В. Курбатова
Красноярская городская детская библиотека им. З. Портновой,им. З. Портновой
Хватовская сельская библиотека-филиал им. М. В. Шестерикова,им. М. В. Шестерикова
Центральная районная детская библиотека им. А. В. Кольцова,им. А. В. Кольцова
