corpus,content,n_syllables,duration
Khislavichi,Такое было.,5,1.089999999999918
Khislavichi,"Ефременкова Зинаида, вот вы бы с ними поговорили, они б вам про колхозы, про всё на свете порассказали.",36,5.7989999999999995
Khislavichi,молока много даёт.,7,1.2899999999999636
Khislavichi,Стали обращаться,6,1.059999999999988
Khislavichi,"Это уже надо ветврач,",8,1.4599999999999795
Khislavichi,"Ну, по=, за всю жизнь общаемся, ну.",10,2.7399999999999984
Khislavichi,"Не-а, никаких обрядов таких дуже, ну как  во=, на всех свадьбах,",19,3.669999999999959
Khislavichi,Так.,1,0.5240000000000009
Khislavichi,Сейчас поступить тоже..,7,1.6820000000000164
Khislavichi,"этой, помещицы местной.",8,2.300000000000068
Khislavichi,"Заговорят воды,",6,1.315999999999974
Khislavichi,"Ин уже поумерли, нету, заговор делали, давали воду,",20,3.731999999999971
Khislavichi,У нас в округе много было тут  господских домов.,15,2.8900000000001
Khislavichi,и вот тут вот живёт эта Таня.,10,2.280000000000001
Khislavichi,"И поля ихные заросли, пока Мираторг не распахали вот такими дисками.",26,3.6169999999999978
Khislavichi,"Ну, что ещё тут у нас?",7,1.6920000000000073
Khislavichi,Ну?,1,0.5089999999999861
Khislavichi,Комяжная.,4,0.8429999999999893
Khislavichi,"Я в своём детстве, ещё в том саду, мы ходили туда  в яблоки, там такие были антоновки.",29,4.569999999999936
Khislavichi,"Называется Бычок, чего он  называется Бычок, я не знаю.",21,3.1370000000000005
Khislavichi,названия этой иконы.,9,1.4069999999999254
Khislavichi,Суриниха была у нас там помещица.,13,2.191000000000031
Khislavichi,ничего у них не получилось.,10,1.8699999999998909
Khislavichi,Я с соседнего колхоза.,8,1.5529999999999973
Khislavichi,"Вот, так и спалили.",6,1.353999999999928
Khislavichi,"И розы там  мы копали, ну такие, простые розы,",17,2.988999999999919
Khislavichi,Вот.,1,0.5230000000000246
Khislavichi,"Соберитесь, сходите, конечно, вы к ним.",12,2.7990000000000013
Khislavichi,"Не, вы ходили к Витьке Сысоеву, Витька тот  такой немой, он вам ничего не рассказал, я уже спрашивала. А Тамары дома не было.",43,6.896999999999991
Khislavichi,Каменная.,4,0.8369999999999891
Khislavichi,"Вот-вот, это вы их и спрашивайте.",11,1.9699999999999989
Khislavichi,"Тогда  с Богдановки, точно, вот тут Богдановка вот, через речку.",19,4.124000000000009
Khislavichi,"Ну свадьба, да, бабушки, те  уже , что вот, примерно, на моей свадьбе пели песни свадебные и обряды те  все соблюдали,",38,6.144999999999982
Khislavichi,закрыли.,3,0.6279999999999859
Khislavichi,"К Романовой Прасковье, к Романовой Нине,",13,2.244000000000028
Khislavichi,уже невеста печёт блины.,9,2.05499999999995
Khislavichi,Есть церковь .,3,1.2160000000000082
Khislavichi,"ну роди=, родили,",6,1.0999999999999943
Khislavichi,"А вот это и пишешь, да?",8,1.509999999999998
Khislavichi,Не.,1,0.6099999999999852
Khislavichi,"Они  ещё успели, записали.",11,1.910000000000082
Khislavichi,"В магазин по этой стёжке, вот за этой сеялкой, так вот идите, идите вверх.",24,4.499000000000024
Khislavichi,С тех пор уже тут таких песен старин=...,11,2.644999999999982
Khislavichi,"Она , наверное, вот, с этой, с Богдановки.",13,2.5519999999999996
Khislavichi,"Рядышком башня там стоит, коло этой башни живут эти  Кирсановы, она  вам покажет Кирсановых.",32,4.711999999999989
Khislavichi,Нету.,2,0.6970000000000027
Khislavichi,В сене ти в соломе.,6,2
Khislavichi,"такой мужчина,",5,1.36099999999999
Khislavichi,Это было сто лет назад.,8,2.4249999999999545
Khislavichi,"доишь, корова может не подпускать доиться, тоже бабки помогали.",22,4.682999999999993
Khislavichi,Рассказывали в моем детстве.,9,1.7539999999999978
Khislavichi,Обозом.,3,0.6680000000000064
Khislavichi,женатый.,3,0.8090000000000828
Khislavichi,"Ладного было, целая такая кастрюля , насобирали они там  их.",23,4.2690000000000055
Khislavichi,"Ну, рыбу бегают ловить дети.",10,2.447999999999979
Khislavichi,"К нему обращаться по всем вопросам, и он был хозяин на свадьбе.",20,3.2200000000000273
Khislavichi,"Да, де-то  семисот какие-то  годы наша эта церковь  была построена.",24,4.272999999999968
Khislavichi,вопросы надо наводящие.,10,1.6049999999999898
Khislavichi,делали там.,4,0.9190000000000004
Khislavichi,Что-то и скажут.,5,1.25
Khislavichi,"В нашу мазыкинскую церковь , ну это ж легенда, конечно.",18,3.68
Khislavichi,Вот.,1,0.5349999999999966
Khislavichi,И не знаем.,4,0.7699999999999818
Khislavichi,"И эту, самую главную,",9,1.5699999999999363
Khislavichi,вот.,1,0.51400000000001
Khislavichi,Такие уже бойкие все!,9,2.356999999999971
Khislavichi,которая ещё видала,9,1.464999999999975
Khislavichi,"Все... что надо сказать, через, пошёл че= через Бычок, в Бычку.",17,4.595000000000027
Khislavichi,"А в Расстегаевке вообще была школа,",13,1.9559999999999995
Khislavichi,"Может, там троху чище.",7,1.7409999999999854
Khislavichi,"Да не, да русский, русский, просто вот у нас тут",13,3.108000000000004
Khislavichi,"Вот, ну вот, а в деревне-то плачут си= по сих пор.",14,3.5750000000000455
Khislavichi,В детстве я не узнала к=...,7,1.4400000000000546
Khislavichi,"Сама не знаю чего, и никто не знает, чего он Мазыки?",19,2.828999999999951
Khislavichi,"Перед этим, перед всем делать.",9,1.9539999999999509
Khislavichi,"Ещё фотографии где-то  были,",11,1.7889999999999873
Khislavichi,Этих монет под Лопачёвой горой.,11,2.355000000000018
Khislavichi,"Наверное, в бане простудился,",10,1.3500000000000227
Khislavichi,"Если моя была в восемьдесят втором,",12,3.8900000000001
Khislavichi,"И кто-то воет. Вы, наверное, такое не слышали, у нас в деревне, як покойник, начинают в голос выть.",33,6.1889999999999645
Khislavichi,"Это уже годов пятнадцать назад, давно.",13,2.75
Khislavichi,"это вы ехали, наверное, не с Хиславич, а до Хиславич.",19,2.5989999999999895
Khislavichi,Ну.,1,0.40300000000002
Khislavichi,"И они и сейчас лопочут, между прочим, эти  Лопачи, вот, надо ж! А?",22,5.0639999999999645
Khislavichi,"эти ,",2,0.8959999999999582
Khislavichi,"думаю, побогаче хиславичской.",11,1.965000000000032
Khislavichi,Ну что я тебе  интересное расскажу? Ну что тебе  интересно?,21,3.339999999999918
Khislavichi,И кто умеет?,5,1.0319999999999825
Khislavichi,Муж бы так и остался.,7,1.3179999999999836
Khislavichi,А в соседней деревне,7,2.285000000000082
Khislavichi,Вот.,1,0.48900000000003274
Khislavichi,"Да, там и столовая, они  вам и про столовую, и детский сад, всё расскажут!",24,4.929000000000002
Khislavichi,"Глубокий овраг с речечкой такой, речушкой.",13,2.830999999999989
Khislavichi,"Это всё сад, яблоневый сад, колхозный.",12,2.302000000000021
Khislavichi,"Ну, свдьбу гуляли",5,1.3500000000000227
Khislavichi,"да, есть.",2,0.8299999999999841
Khislavichi,"второй её, третий Кирсановых.",10,1.865000000000009
Khislavichi,"Может, помёр хозяин.",7,1.990000000000009
Khislavichi,"ну может, и называли,",8,1.25
Khislavichi,"Мне запомнились, вот тут вот, ни одного такого нету, вот они  такие были.",25,4.636999999999944
Khislavichi,"Разные сорта, и зимние тут, и, и летние сорта, и средние сорта.",23,4.474000000000046
Khislavichi,"Ой, сколько я тут живу?",7,1.7970000000000257
Khislavichi,По-своему.,4,0.7749999999999773
Khislavichi,Именно.,3,0.6750000000000114
Khislavichi,трошку.,2,0.46299999999996544
Khislavichi,И придёте прямо к этой Татьяне.,11,2.116999999999962
Khislavichi,"Эй, такие монеты, эти , старинные.",13,5.1860000000000355
Khislavichi,"ну там, пошутили, поприкидывались, что они дорогу ищут, заблудились сваты эти  будто бы.",31,5.99899999999991
