nosology_name,year,indicator_value
Прямая кишка и др. (C19-21),2007,22597
Прямая кишка и др. (C19-21),2008,22465
Прямая кишка и др. (C19-21),2009,23270
Прямая кишка и др. (C19-21),2010,23841
Прямая кишка и др. (C19-21),2011,23917
Прямая кишка и др. (C19-21),2012,24219
Прямая кишка и др. (C19-21),2013,23889
Прямая кишка и др. (C19-21),2014,25230
Прямая кишка и др. (C19-21),2015,25951
Прямая кишка и др. (C19-21),2016,25982
Прямая кишка и др. (C19-21),2017,26455
Прямая кишка и др. (C19-21),2018,27150
Прямая кишка и др. (C19-21),2019,27462
Прямая кишка и др. (C19-21),2020,24403
Прямая кишка и др. (C19-21),2021,25753
Прямая кишка и др. (C19-21),2022,26907
