nosology_name,year,indicator_value
"Злокачественные лимфомы (C81-85, 88, 90, 96)",2007,11565
"Злокачественные лимфомы (C81-85, 88, 90, 96)",2008,11944
"Злокачественные лимфомы (C81-85, 88, 90, 96)",2009,12525
"Злокачественные лимфомы (C81-85, 88, 90, 96)",2010,12667
"Злокачественные лимфомы (C81-85, 88, 90, 96)",2011,12556
"Злокачественные лимфомы (C81-85, 88, 90, 96)",2012,12637
"Злокачественные лимфомы (C81-85, 88, 90, 96)",2013,13000
"Злокачественные лимфомы (C81-85, 88, 90, 96)",2014,13596
"Злокачественные лимфомы (C81-85, 88, 90, 96)",2015,14609
"Злокачественные лимфомы (C81-85, 88, 90, 96)",2016,14929
"Злокачественные лимфомы (C81-85, 88, 90, 96)",2017,15236
"Злокачественные лимфомы (C81-85, 88, 90, 96)",2018,15519
"Злокачественные лимфомы (C81-85, 88, 90, 96)",2019,15948
"Злокачественные лимфомы (C81-85, 88, 90, 96)",2020,14619
"Злокачественные лимфомы (C81-85, 88, 90, 96)",2021,14087
"Злокачественные лимфомы (C81-85, 88, 90, 96)",2022,14798
