corpus,content,n_syllables,duration
Khislavichi,"Ай, это всё прошло  уже , всё ничего.",12,2.726999999999975
Khislavichi,"Ну, мой зять служил в армии, дык армейские эти  наденут ко=.",19,5.186999999999898
Khislavichi,Было помощи никакой не было.,11,2.7270000000000323
Khislavichi,"Скакали, музыка была. У нас клуб вечный, вот.",14,4.70900000000006
Khislavichi,"и с цыганом с этим , но он приболел.",11,2.9400000000000546
Khislavichi,Носили яиц .,5,1.519000000000002
Khislavichi,"Да, всё запрещено.",6,1.7440000000000282
Khislavichi,"Ну, вся семья у нас рабочая, вся.",11,3.0470000000000255
Khislavichi,"Так было, было такое.",8,1.7970000000000257
Khislavichi,"Не щадя, лён брали, ничего. Они  девчонки коров доили со мной и лён брали.",25,7.816000000000031
Khislavichi,"Всё-таки он  не послухал, пошёл к речке.",12,3.4209999999999923
Khislavichi,"Не, не скажу я ничто.",7,1.9890000000000327
Khislavichi,"Было такое, я ни= никого, ничего не прибавляю.",18,3.790999999999997
Khislavichi,каменный.,3,0.8079999999999927
Khislavichi,Вот такие дела.,6,2
Khislavichi,"Этот  на доставку шофёр, на машине.",12,5.081999999999994
Khislavichi,"Там живут, в деревне там .",7,2.5260000000000105
Khislavichi,"Ну, что я расскажу. Что я плохого ничего не расскажу, только.",20,4.855999999999998
Khislavichi,"А пожилые вот люди спросите, скажите,",14,2.895999999999958
Khislavichi,Сидели ночами пряли у этого.,12,3.0399999999999636
Khislavichi,"Мы, может, вы были у них, а?",9,1.8949999999999816
Khislavichi,"А раньше было всё, всё было.",9,2.3130000000000024
Khislavichi,А?,1,0.5370000000000061
Khislavichi,"что выгоняют скот,",6,2.427000000000021
Khislavichi,"Держала много курей, а вот заболела.",13,2.7210000000000036
Khislavichi,"Да. Да, да, да, да, угу, угу.",9,3.074999999999932
Khislavichi,"И Духа, всяко, всяко, гуляли все те  праздники.",15,4.611999999999995
Khislavichi,Вот.,1,0.4329999999999927
Khislavichi,"сала в отвал, это ж не то, что сейчас.",11,2.7509999999999906
Khislavichi,давали всё время это вот всё.,10,2.5070000000000014
Khislavichi,"Ну, там, знаете, карьера.",8,1.7210000000000036
Khislavichi,Вот так.,2,0.5380000000000109
Khislavichi,А у нас эти .,5,1.3659999999999854
Khislavichi,Да.,1,0.5349999999999682
Khislavichi,Надо же ногой случиться.,8,2.738999999999976
