nosology_name,year,indicator_value
Щитовидная железа (C73),2007,8882
Щитовидная железа (C73),2008,8571
Щитовидная железа (C73),2009,8424
Щитовидная железа (C73),2010,8488
Щитовидная железа (C73),2011,9161
Щитовидная железа (C73),2012,9203
Щитовидная железа (C73),2013,9092
Щитовидная железа (C73),2014,9688
Щитовидная железа (C73),2015,10490
Щитовидная железа (C73),2016,11332
Щитовидная железа (C73),2017,11380
Щитовидная железа (C73),2018,12059
Щитовидная железа (C73),2019,12706
Щитовидная железа (C73),2020,10305
Щитовидная железа (C73),2021,11243
Щитовидная железа (C73),2022,12967
