nosology_name,year,indicator_value
Ободочная кишка (C18),2007,28320
Ободочная кишка (C18),2008,28962
Ободочная кишка (C18),2009,29495
Ободочная кишка (C18),2010,29922
Ободочная кишка (C18),2011,30486
Ободочная кишка (C18),2012,30552
Ободочная кишка (C18),2013,30577
Ободочная кишка (C18),2014,32418
Ободочная кишка (C18),2015,33547
Ободочная кишка (C18),2016,34293
Ободочная кишка (C18),2017,35466
Ободочная кишка (C18),2018,36113
Ободочная кишка (C18),2019,37590
Ободочная кишка (C18),2020,32291
Ободочная кишка (C18),2021,33378
Ободочная кишка (C18),2022,35623
