nosology_name,year,indicator_value
Тело матки (C54),2007,17444
Тело матки (C54),2008,17843
Тело матки (C54),2009,18523
Тело матки (C54),2010,18731
Тело матки (C54),2011,19602
Тело матки (C54),2012,19907
Тело матки (C54),2013,20663
Тело матки (C54),2014,21846
Тело матки (C54),2015,22521
Тело матки (C54),2016,23016
Тело матки (C54),2017,23693
Тело матки (C54),2018,24474
Тело матки (C54),2019,24611
Тело матки (C54),2020,21695
Тело матки (C54),2021,22951
Тело матки (C54),2022,24938
