id,text,date,cause
238702,"Адусик! Поздравляю тебя с Днем Рождения, Новым годом, желаю тебе много, много [^ много-много] здоровья, счастья в жизни и наилучших успехов в учебе. Желаю быть и в дальнейшем такой же хорошей. Анатолий. 29.XII-1961 г.",1961-12-29,birthday
220087,"Дорогой сыночек, Витенька, сердечно поздравляю тебя с днем рождения и желаю счастливых и радостных лет, хороших и веселых друзей, счастливых детских забав, в днях сладостных. Твой папа. {С 3х летием поздравляю.} {2/X 45 г.}",1945-10-02,birthday
239256,"Дорогая, Зиночка! Поздравляем, тебя с днем рождения. Желаем счастья, здоровья, долгих лет жизни и всего, всего чего ты только желаешь. Коллектив бухгалтерии 27/XI-74 г.",1974-11-27,birthday
223556,"23/ix - 1909 г. пущено письмо божье
Поздравляю с днём рождения и желаю тебе всего наилучшего в твоей спитальнической жизни. Твой старый слуга до гроба поручик А. А. Чичиков-Аменов.",1909-09-23,birthday
249112,"Клавдия Васильевна! Поздравляю Вас с днем рождения. Желаю счастья, здоровья, веселья! Долгих, долгих приятных лет жизни. Валя. {16/ХII 69}.",1969-12-16,birthday
222171,"{29/I-61г.} Дорогая Людочка! Поздравляем тебя с днем рождения. Желаем тебе здоровья, успехов в учебе, только отличных. Инна и Лена Брук.",1961-01-29,birthday
246759,"Дорогой наш дедушка Вася! Поздравляем тебя с Днем Рождения! Желаем тебе счастья, здоровья, побольше солнечных и теплых дней в твоей жизни. Целуем и обнимаем тебя Маша, Мама и Папа. 14.03.98 год.",1998-03-14,birthday
233026,"5.XI.72
Поздравляю всех с праздником а братца с днем рождения. Желаю всего самого наилучшего. Я уже снова в Корсакове. Пишите по старому адресу.
Д.",1972-11-05,birthday
100827,Милую мамочку Поздравляю с днем рождения Желаю всего всего наилучшего <подпись> 1914 г. 23 августа,1914-08-23,birthday
227716,"Дорогая тётя Нелля! Поздравляю вас с днём рождения. Желаю много, много счастья, русского веселья, сибирского здоровья, кавказского долголетия Люда {11/VII.73 г.}",1973-07-11,birthday
228216,"<u>Дорогая Мария!</u> Поздравляем тебя с Днем Рождения! Желаем тебе хорошего здоровья, спокойной и счастливой жизни, благополучия, успехов во всех твоих трудах и больших достижений к твоему очередному Юбилею - дню Совершеннолетия! Обнимаем целуем. Соня, Вася, Шура",1979-07-17,birthday
238951,"Дорогую Валюшку с днем рожденья поздравляю счастья, радости желаю славной, милой и здоровой чтобы ты всегда была Валя. 12/IV 1966 г[од]",1966-04-12,birthday
223379,Володя! Поздравляем тебя с днем рождения. Желаем тебе отличных успехов в учебе и хорошего настроения. 8 февраля 1962 года Кондаковы,1962-02-08,birthday
215466,"Милый Сережа!
Сердечно поздравляем тебя все мы с днем рождения, желаем всего наилучшего, главное поменьше хворать.
Впрочем надеюсь, что предстоящая поездка в Крым укрепит Вас всех, только бы удалось привести в исполнение эту мечту. Собирайтесь пока к нам, эту поездку осуществить будет наверное легче. Как проводите время? Много ли занимаетесь? Как теперь твое здоровье? Недавно была у нас тетя Надя, вспоминали Вас. Пишите нам почаще. Целуем всех Вас и желаем всех благ. До свидания. А. Гро-Гверан.",1925-03-02,birthday
237992,"<u>Дорогая Света!</u> Поздравленья с днем рождения шлем тебе от всей души. А конкретно вот такое: Не знай горести и печали, Дни только радостные мчались и будь счастливой, в будущем и сейчас. И во все свои лета Как теперь будь молода! Без слов, но от души. [Васи…] Юдин [Ники…] 12.08.80 г.",1980-01-12,birthday
219972,"С новым наступающим 1950 годом! Боря поздравляю тебя с днем рождения и новым годом! Желаю хорошо провести каникулы, хорошо отдохнуть и с новыми силами приступить к занятиям, чтобы сдать экзамены за 4 класс только на 4 и 5. Привет маме и папе. 27.12.49 г.",1949-12-27,birthday
225541,"Дорогая Галина! Поздравляю тебя с днём рождения! Желаю тебе отличной учебы, хорошего здоровья, и главное, чтоб сбылась твоя заветная мечта - ты стала бы АРТИСТКОЙ! От Шуры П. {13/III - 62 г.}",1962-03-13,birthday
222935,"Уважаемая Нина Тарасовна! Поздравляю с днем рождения. Желаю здоровья, успехов во всем. Не обращайте внимание на годы - цветите внешне, как эти цветы. 11/II-80 <подпись>",1980-02-11,birthday
103287,"Дорогой Иосиф! Целуем и поздравляем тебя с Днем Рождения. Желаем доброго здоровья, хороших успехов в работе, в охоте и рыбалке. Киру Николаевну поздравляем с дорогим новорожденным. Желаем большого счастья в вашей жизни. Ваши Морозовы Милочка и Павел.",1961-12-03,birthday
211957,"Поздравляем Вас, дорогая Лизочка, с днем рождения. Передавайте мой привет Елене Максимовне и всем другим домашним. Ви[нрзб] [?Бекман]",1905-12-12,birthday
225589,<u>Валя!</u> Поздравляю Вас с днем рождения и желаю успеха в учебе Вашей. Валя помни свою подругу С. Галю. Помни совместное учение. Валечке от С. Галины ученицы X класса школы № 6. г.[ород] Йошкар-Ола 30 марта 1944 г.[од],1944-03-30,birthday
216738,"Дорогую Нину Дмитриевну от души поздравляю с Днем рождения!  Радости Вам светлой, улыбок искренних, здоровья крепкого, молодости вечной! Обнимаю и целую, Ваша Галка",1981-02-04,birthday
103621,"20/I.1906 г.
Сердечно поздравляем с днем рождения. [? Юревич] с семейством",1906-01-20,birthday
206573,Поздравляю с днем рождения Маркус,1913-09-15,birthday
217673,"Дорогая Нина Дмитриевна! Поздравляю Вас с днем рождения! Желаю Вам долгих лет счастливой жизни, отличного здоровья, успехов в труде, мирного неба и всех земных благ. Целую. Вера Николаевна. 1 февраля 1983 г.",1983-02-01,birthday
243026,Дорогая мамочка поздравляю вас с днем рождения. Желаю вас долгих лет жизни и хороших успехов в работе. Желаю еще не расстраиваться. Ваш сын Павлик. 16 декабря 1958 года.,1958-12-16,birthday
239619,"Дорогой папочка! Поздравляю тебя с днем рождения и желаю здоровья, успехов в работе, исполнения всех желаний. Твоя дочь Ира. 28/VIII - 64 г.",1964-08-28,birthday
223049,"Аленушку поздравляем  с Днем рождения! Это твоя первая юбилейная дата - праздник. А после него пора учить азбуку. Расти умненькой, послушной дочкой. Целуем тебя тетя Таня, дядя Валя и Женя 21/I-83г.",1983-01-21,birthday
225454,"Дорогой дедуся, поздравляю Вас с днём рождения. Желаю Вам счастья, здоровья и долгих лет жизни. Целует внучка Алла. {21/XI-51 года}",1951-11-21,birthday
246856,"Глубокоуважаемая Галина Николаевна! Поздравляем Вас с днем рождения, желаем больших успехов [^в] Вашем почтенном труде воспитания молодого поколения, благотворной научно-иссследовательной работе и крепкого здоровья, счастья и всего наилучшего Вам и вашей семье. Ваши монгольские друзья Г. Санжмяков Ц Башсууль  г. Ростов на Дону [^Ростов-на-Дону]. 26/IV.1978 г[од]",1978-04-26,birthday
237479,Лиля! поздравляю [^Поздравляю] тебя с днем рождения! Желаю тебе всего самого лучшего и в жизни и в работе. Клара 5. XII. 59.,1959-12-05,birthday
245569,Поздравляю Витась с днем рождения Желаю тебе много счастья и здоровья а также успехов в твоей молодой жизне [^жизни] и забот и горестей не знать. 23.11.1961 от тети Лены,1961-11-23,birthday
223279,"Дорогая Лялюшечка! Поздравляю тебя с Днем рождения, желаю здоровья, счастья, успеха в твоих делах и много лет жизни. Крепко, крепко обнимаю тебя, целую и шлю сердечные пожелания. Зина.",1950-05-01,birthday
3347,"10/X - 41 г.
Здравствуйте дорогие друзья Рафа и Яша!
Пишу вам уже третью открытку, а от вас до сих пор ничего не получил, да и вообще ни одного письма еще не получил. Я не уверен застанет ли вас мое письмо дома, возможно вы находитесь уже в армии и защищаете нашу любимую Москву, а возможно и уехали куда либо с заводом или институтом, но я думаю, что вам передадут мое поздравление с днем рождения, ведь одному из вас исполняется 22 года, а другому 23. Желаю вам еще долгих лет счастливой жизни после победы над проклятым фашизмом. Я нахожусь на фронте, здоров. Напишите мне как вы живете, как наша Москва в эти тяжелые дни. Как мои родители. Известно ли что либо о Шурике, Борисе, Володе, Мише, Павле, Сене. Жду с нетерпением ваших писем. Привет родителям и девушкам. Целую, ваш Лева.",1941-11-10,birthday
247018,"Дорогие друзья! Поздравляем всех вас с праздником и Димушку с днем рождения! Желаем всего самого доброго! Моля ви се, не проклинайте нас, потому что мы думаем и помним о вас все время. Будьте здоровы, дорогие наши. Целуем всех. Все Степаненко. 6.X.75. София.",1975-10-06,birthday
213674,"Дорогая Надя! Поздравляем тебя с днем рождения! Желаем тебе крепкого здоровья, успехов в работе и хорошего настроения. Привет дедушке и бабушке. Целуем Набоковы.",1974-09-05,birthday
239610,"С днем рождения родная, Наталья Леонидовна! Желаем Вам дорогой наш, необыкновенный человек, всего самого-самого наилучшего в жизни. Будьте бодры и здоровы. Крепко целуем Ваши Миша, Фрида. P.S. Как давно Вы нам не писали о себе. Забыли? Конечно нет! Очень жду весточки. {2/V-58г.}",1958-05-02,birthday
228052,"Милая Авочка! Сердечно поздравляю тебя с днем рождения! Здоровья тебе, счастья, долгих лет жизни. Извини, что мало пишу. На правой руке нарывает палец, пишу с трудом. Привет тебе от Вл. Ник. Целую Нина {16/XI - 79 г.}",1979-11-16,birthday
227200,"Милые Груня и Зоя поздравляю вас с днем рождения. Желаю счастья, успехов в жизни. [?9]/IV-60 г. Ваня",1960-04-09,birthday
221662,"Лена! Поздравляю тебя с днем рождения. Желаю успехов в труде, счастья в жизни и здоровья. <подпись> {20/IV - 65 г.}",1965-04-20,birthday
244441,{1916 6/VIII} Дорогая Мета! Поздравляю тебя с Днем Рождения и желаю всего наилучшего. От бабушки и мужа поздравление и поклон. Цилли Селяво,1915-08-06,birthday
2817,"11.04.2019 
Степа, поздравляем тебя с днем рождения приветом из Японии! Мы приехали сюда на свадьбу нашего японского друга и заодно посетили Осаку, Киото, Хиросиму, Токио... очень много впечатлений {и уже хочется приехать снова. Юля и Крис.}",2019-04-11,birthday
218660,"Здравствуйте наши дорогие Шура, Слава, Володя! По приезду[^приезде] написала Вам письмо - ответа не получила. Послала конверт с фотографиями - ответа не получила. (желательно их выслать обратно) Поздравления с праздником не получила. Поздравления с днем рождения не получила. Может быть что-то случилось? Может быть что-то надо? Володя, напиши хотя бы открытку как дела со стройкой? Как себя чувствует Слава? Помню он все жаловался, но устал... У нас сейчас тоже напряжение У Леночки сессия У меня годовой отчет У Саши в школе сумасшествия а все выдержать надо того и вам желаю Саша. Лена. Света. {29/11 78 Терентьева.}",1978-11-29,birthday
224639,"Поздравляю маму, папу и их дорогую дочь с Новым 1955 годом. А тебя Ася разреши еще поздравить и с днем рождения - с твоим четверть века. Желаю счастья. С приветом Кира 20/XII-54.",1954-12-20,birthday
207039,"Дорогая доченька и внучка! Поздравляем тебя с днем рождения и желаем тебе настоящего здоровья, успехов во всех твоих делах  и хорошего настроения! 3/VII-70 г.",1970-07-03,birthday
206792,"Поздравляю милую Таточку с днем рождения маму и папу с новорожденной. Желаю вырости [^вырасти] через год до 25 лет, чтобы получить 25 рубл[ей]. Любящ[ий] Дядя Витя 16.05.1910 г.",1910-05-16,birthday
244846,"гор. Челябинск. 2 января 1916г. без [нрзб] 2ч [?ночи] Здравствуй Дорогая Нина! Поздравляю тебя с днем рождения шлю сердечный привет и наилучшие пожелания Маму и Юлю поздравляю с рожденной. Ну как ты Ниночка поживаеш[^поживаешь] весело ли провела праздник и встретила Новый год. как погостила у стаса удивились ли Вы с Мамой появлением украшенной у Вас елки. Третьего дня я получил от тебя и Юли поздравительные письма. за что чувствительно тронут. я вот сейчас пью чай прежде еще ходил искать сахару т к в нашей лавочке нет и нашол [^нашел] в 5 роте дали! а ходите ли кататся [^кататься] [?хочешь] сал. на каток. Ну и пока, до свидания передай привет Маме и Юле. Будь здорова Люб[ящий] тебя Ваня",1916-01-02,birthday
221523,"Дорогой Шурик! Поздравляем тебя с днем рождения! Желаем тебе крепкого здоровья, успехов в труде, отличного настроения, исполнения всех желаний и всего самого наилучшего. {Целуем. Тормозовы. <u>19 октября 1977 года</u>}",1977-10-19,birthday
228158,"Добрый час супруги Яшина и Алымов! Поздравляю Павла Федоровича с днем рождения. Желаем ему доброго здоровья и счастья! Павел Федорович, приходите к нам на кружок, мы нуждаемся в ""солидных причинах"". Очень большой привет от Павла Ивановича. В.Н. Курбатова. {6/III 1966 г.}",1966-03-06,birthday
104397,Поздравляю с днем рождения Маркус {Керчь 15/IX 1913.},1913-09-15,birthday
211460,"Дорогая Лелечка, поздравляю тебя с днем рождения и желаю в грядущем 20-ом году твоей жизни много счастья. <Варя> {Пусть жизнь твоя течет струею, Пусть будет вся во множестве цветов, и пусть всегда живет с тобою, Надежда, вера и любовь.}",1946-10-13,birthday
233194,"Дорогая подрушка [^подружка] Валя Поздравляю тебя с днем рожденья Желаю тебе 11 лет. счатье [^счастье], хорошой [^хорошей] учебе  {твоя Лена подруга Курданова и от Таи Плтуховой 12/XII 64г[од]}",1964-12-12,birthday
219718,"Дорогая наша Танечка! В твой торжественный и славный юбилей-десятилетие, от всей души поздавляем тебя с днем Рождения! Желаем тебе здоровья, успехов в скрипичной игре и отличных успехов в школьных занятиях! Живи, расти и развивайся на радость всей нашей Родины! Крепко тебя обнимаем и целуем. Любящие тебя: папа, мама, дедушка. <Таганрог. 12.05.1961 год.>",1961-05-12,birthday
205880,Дорогой Юра! Поздравляем тебя с днем рождения! Шлем самые наилучшие пожелания! Как вы живете? Здоровы? У нас все хорошо. Ждем от вас ответа. Всем привет от нас! Целуем. Мама и папа,1964-02-02,birthday
