nosology_name,year,indicator_value
Меланома кожи (C43),2007,7385
Меланома кожи (C43),2008,7420
Меланома кожи (C43),2009,7578
Меланома кожи (C43),2010,8001
Меланома кожи (C43),2011,8252
Меланома кожи (C43),2012,8182
Меланома кожи (C43),2013,8275
Меланома кожи (C43),2014,8790
Меланома кожи (C43),2015,9384
Меланома кожи (C43),2016,9607
Меланома кожи (C43),2017,10043
Меланома кожи (C43),2018,10205
Меланома кожи (C43),2019,10609
Меланома кожи (C43),2020,8995
Меланома кожи (C43),2021,10110
Меланома кожи (C43),2022,10561
