name,dedication
Библиотека им. М. К. Волдиной с. Казым,им. М. К. Волдиной
Центральная библиотека им. В. Г. Короленко,им. В. Г. Короленко
Краеведческая библиотека им. А. Ф. Землянского,им. А. Ф. Землянского
Библиотека № 10 им. Д. Н. Мамина-Сибиряка г. Перми,им. Д. Н. Мамина-Сибиряка
Библиотека № 8 для детей и юношества им. А. П. Гайдара г. Кирова,им. А. П. Гайдара
Юрасовская сельская библиотека им. Н. И. Костомарова,им. Н. И. Костомарова
Детская библиотека № 8 им. П. П. Бажова,им. П. П. Бажова
Библиотека-читальня им. И. С. Тургенева (строение 1),им. И. С. Тургенева
Центральная библиотека им. Олега Чупрова,им. Олега Чупрова
Красноярская городская детская библиотека им. С. Михалкова,им. С. В. Михалкова
Центральная библиотека им. А. С. Пушкина г. Сургута,им. А. С. Пушкина
Центральная городская библиотека им. журнала «Смена»,им. журнала «Смена»
Тарусская районная детская библиотека им. Н. В. Богданова,им. Н. В. Богданова
Библиотека-филиал № 3 им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Красноярская городская детская библиотека им. К. Чуковского,им. К. И. Чуковского
Военно-историческая библиотека им. М. В. Водопьянова,им. М. В. Водопьянова
Библиотека-филиал им. И. А. Наговицына «Библиотека нового поколения»,им. И. А. Наговицына
Тамбовская областная универсальная научная библиотека им. А. С. Пушкина,им. А. С. Пушкина
Центральная городская библиотека им. А. Д. Старцева,им. А. Д. Старцева
Красноярская городская библиотека им. В. Маяковского,им. В. В. Маяковского
Библиотека им. М. А. Лаврентьева,им. М. А. Лаврентьева
Центральная библиотека им. Л. А. Малюгина,им. Л. А. Малюгина
Ревдинская центральная городская библиотека им. А. С. Пушкина,им. А. С. Пушкина
Центральная городская библиотека им. Н. К. Крупской г. Дзержинска,им. Н. К. Крупской
Библиотека им. Л. Агакова − филиал № 17,им. Л. Агакова
Жерлыкская поселенческая библиотека им. И. Ф. Котляра,им. И. Ф. Котляра
Борисоглебская детская городская библиотека им. Ю. Ф. Третьякова,им. Ю. Ф. Третьякова
Крымская республиканская детская библиотека им. В. Н. Орлова,им. В. Н. Орлова
Центральная детская библиотека им. А. В. Мишина,им. А. В. Мишина
Курская областная универсальная научная библиотека им. Н. Н. Асеева,им. Н. Н. Асеева
Библиотека им. Е. А. Никонова г. Нижнего Новгорода,им. Е. А. Никонова
Центральная детская библиотека им. А. C. Макаренко г. Евпатории,им. А. C. Макаренко
Библиотека № 6 библиотечно-информационного центра им. П. П. Семенова-Тян-Шанского,им. П. П. Семенова-Тян-Шанского
Библиотека семейного чтения им. М. Горького,им. М. Горького
Межпоселенческая центральная библиотека им. Александра Кердана г. Коркино,им. А. Кердана
Библиотека-филиал им. Н. В. Гоголя г. Нижнего Новгорода,им. Н. В. Гоголя
Посадский отдел обслуживания им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Библиотека им. А. Пушкина г. Азова,им. А. С. Пушкина
Чернохолуницкая сельская библиотека им. В. А. Труфакина,им. В. А. Труфакина
Аспинская модельная сельская библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Туртапинская сельская библиотека им. В. Л. Силаева,им. В. Л. Силаева
Модельная библиотека им. К. Аухатова с. Старый Курдым,им. К. Аухатова
Библиотека-филиал № 39 им. С. Скитальца,им. С. Скитальца
Центральная библиотека им. А. Г. Дементьева,им. А. Г. Дементьева
Центральная библиотека им. В. А. Пазухина г. Кинешмы,им. В. А. Пазухина
Центральная городская библиотека им. А. Вампилова,им. А. Вампилова
Библиотека-читальня им. А. С. Пушкина г. Москва,им. А. С. Пушкина
Павловская центральная детская библиотека им. Ф. И. Панферова,им. Ф. И. Панферова
Альметьевский филиал библиотеки для слепых им. Ш. К. Еникеева,им. Ш. К. Еникеева
Библиотека им. П. Хузангая (филиал № 20),им. П. Хузангая
Модельная Центральная детская библиотека им. М. Горького,им. М. Горького
Жулановская сельская библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Красноярская городская библиотека им. А. Черкасова,им. А. Т. Черкасова
Библиотека-филиал № 11 им. Н. Ю. Корнеева г. Курска,им. Н. Ю. Корнеева
Центральная городская детская библиотека им. А. П. Гайдара,им. А. П. Гайдара
Библиотека № 2 им. А. В. Кольцова,им. А. В. Кольцова
Городская центральная библиотека им. Г. Н. Айги,им. Г. Н. Айги
Библиотека им. Ю. П. Кузнецова,им. Ю. П. Кузнецова
Центральная городская библиотека им. Д. А. Фурманова,им. Д. А. Фурманова
Колыванская детская библиотека им. Н. К. Крупской,им. Н. К. Крупской
Библиотека-филиал им. П. И. Мельникова-Печерского,им. П. И. Мельникова-Печерского
Центральная библиотека им. М. К. Агашиной,им. М. К. Агашиной
Саратовская областная библиотека для детей и юношества им. А. С. Пушкина,им. А. С. Пушкина
Центральная городская детская библиотека им. Л. Н. Толстого,им. Л. Н. Толстого
Синегорская сельская библиотека им. Е. И. Кострова,им. Е. И. Кострова
Городская библиотека-филиал № 7 им. Ф. В. Гладкова,им. Ф. В. Гладкова
Кувинская сельская библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Библиотека им. М. М. Пришвина г. Тюмени,им. М. М. Пришвина
Воронежская областная универсальная научная библиотека им. И. С. Никитина на улице Орджоникидзе,им. И. С. Никитина
Удомельская центральная библиотека им. Н. А. Зворыкина,им. Н. А. Зворыкина
Красноярская городская библиотека им. А. М. Горького,им. А. М. Горького
Воронежская областная специальная библиотека для слепых им. В. Г. Короленко,им. В. Г. Короленко
Библиотека им. Маяковского г. Зеленогорска,им. В. В. Маяковского
Зерноградская библиотека им. А. С. Пушкина,им. А. С. Пушкина
Центральная городская библиотека им. М. Горького,им. М. Горького
