author,title,n_words,total_words
"Leroux, Gaston",The Phantom of the Opera,6641,88100
"Flint, Homer Eon",The Blind Spot,8160,110446
"Dickens, Charles",The Mystery of Edwin Drood,9415,99645
"Flint, Homer Eon",The Lord of Death and the Queen of Life,5612,48940
"Milne, A. A. (Alan Alexander)",The Red House Mystery,4159,63553
"Gallun, Raymond Z.",People Minus X,6753,54581
"Crake, A. D. (Augustine David)","Alfgar the Dane or the Second Chronicle of Aescendune
A Tale of the Days of Edmund Ironside",7441,77218
"Jefferies, Richard","After London; Or, Wild England",7745,85683
"Ebers, Georg",The Bride of the Nile — Volume 08,3762,23252
"Ballantyne, R. M. (Robert Michael)",Martin Rattler,7003,62860
"Sutphen, Van Tassel",The Doomsman,8728,80401
"Altsheler, Joseph A. (Joseph Alexander)",The Forest of Swords: A Story of Paris and the Marne,6086,85293
"Pelcher, Anthony",Astounding Stories of Super-Science April 1930,7861,75565
"Stratemeyer, Edward","Young Captain Jack; Or, The Son of a Soldier",4003,51795
"Green, Anna Katharine",The Mystery of the Hasty Arrow,7041,96476
"Alger, Horatio, Jr.","Young Captain Jack; Or, The Son of a Soldier",4003,51795
"Yonge, Charlotte M. (Charlotte Mary)","Stray Pearls: Memoirs of Margaret De Ribaumont, Viscountess of Bellaise",9194,133497
"Ellis, Edward Sylvester",The Boy Patriot,3887,26226
"Leighton, Robert",Olaf the Glorious: A Story of the Viking Age,6365,90735
"Gale, Floyd C.",Someone to Watch Over Me,3140,22401
"Goodwin, Harold L. (Harold Leland)",Rip Foster in Ride the Gray Planet,4648,53285
"Marryat, Frederick",The Children of the New Forest,5888,117118
"Allen, Grant",An African Millionaire: Episodes in the Life of the Illustrious Colonel Clay,7487,67919
"Tytler, Sarah","Girlhood and Womanhood
The Story of some Fortunes and Misfortunes",11424,101289
"Wallace, Edgar",The Clue of the Twisted Candle,6256,60334
"Wood, Robert Williams",The Man Who Rocked the Earth,6640,44159
"Bennett, John",Master Skylark: A Story of Shakspere's Time,7207,76603
"Piper, H. Beam",A Slave is a Slave,3631,21907
"Bramah, Ernest",Max Carrados,7498,71011
"Nesbit, E. (Edith)",The Enchanted Castle,5930,71272
"Garby, Lee Hawkins",The Skylark of Space,7555,87912
"Nield, Jonathan",A Guide to the Best Historical Novels and Tales,4067,21524
"Curtis, Alice Turner",A Yankee Girl at Fort Sumter,3241,40924
"Brown, Charles Brockden","Wieland; Or, The Transformation: An American Tale",7373,83980
"Church, Alfred John","The Count of the Saxon Shore; or The Villa in Vectis.
A Tale of the Departure of the Romans from Britain",7058,72788
"Bradley, Marion Zimmer",The Colors of Space,5501,47911
"Smith, E. E. (Edward Elmer)",The Skylark of Space,7555,87912
"Bryce, Charles, Mrs.",The Ashiel mystery: A Detective Story,7090,89184
"Wilde, Oscar",The Picture of Dorian Gray,6910,81366
"Balzac, Honoré de",The Chouans,8757,112413
"Hogg, James",The Private Memoirs and Confessions of a Justified Sinner,8102,85235
"Sacher-Masoch, Leopold, Ritter von",Venus in Furs,5197,43958
"Fletcher, J. S. (Joseph Smith)",The Talleyrand Maxim,5303,74737
"Benoît, Pierre",Atlantida,7851,66635
"Hudson, W. H. (William Henry)",A Crystal Age,6245,61049
"Diffin, Charles Willard",The Finding of Haldgren,4180,31755
"Munro, John",A Trip to Venus: A Novel,6754,52138
"Rockwell, Carey",Sabotage in Space,4770,47718
"Astor, John Jacob",A Journey in Other Worlds: A Romance of the Future,8349,92356
"Farmer, Philip José",The Green Odyssey,6616,60717
"Perrin, Alice",Star of India,8431,79805
"Gaboriau, Emile",The Count's Millions,8339,116649
"Bangs, John Kendrick","R. Holmes & Co.
Being the Remarkable Adventures of Raffles Holmes, Esq., Detective and Amateur Cracksman by Birth",4791,34327
"Bova, Ben",The Dueling Machine,3899,22437
"De Quincey, Thomas",Confessions of an English Opium-Eater,6023,39200
"Harrison, Harry",Planet of the Damned,6193,57569
"Burnett, Frances Hodgson","His Grace of Osmonde
Being the Portions of That Nobleman's Life Omitted in the Relation of His Lady's Story Presented to the World of Fashion under the Title of A Lady of Quality",7913,109530
"Lucian, of Samosata",Trips to the Moon,5603,37357
"Train, Arthur Cheney",The Man Who Rocked the Earth,6640,44159
"Janifer, Laurence M.",Slave Planet,3998,40725
