name,dedication
Центральная городская муниципальная библиотека им. Л. Н. Толстого,им. Л. Н. Толстого
Центральная городская библиотека им. А. Уержаа,им. А. Уержаа
Родинская библиотека им. Ю. И. Макарова,им. Ю. И. Макарова
Черновская сельская библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Морская библиотека-музей им. В. Г. Гузанова,им. В. Г. Гузанова
Сельская библиотека – филиал № 10 им. А. Я. Уваровского,им. А. Я. Уваровского
Модельная библиотека-филиал им. В. В. Маяковского,им. В. В. Маяковского
Калужская областная специальная библиотека для слепых им. Н. Островского,им. Н. А. Островского
Санчурская центральная библиотека им. А. М. Рыжова,им. А. М. Рыжова
"Гулькевичская городская детская библиотека им. К. Симонова, филиал № 1",им. К. Симонова
Библиотека № 3 им. К. Я. Мамонтова,им. К. Я. Мамонтова
Константиновская районная библиотека им. Ф. П. Крюкова,им. Ф. П. Крюкова
Центральная библиотека им. С. А. Пестунова,им. С. А. Пестунова
Детская библиотека им. А. С. Пушкина п. Сосьва,им. А. С. Пушкина
Шестаковская сельская библиотека им. А. П. Батуева,им. А. П. Батуева
Центральная городская детская библиотека им. А. П. Гайдара (отдел обслуживания),им. А. П. Гайдара
Костромская областная библиотека для детей и молодежи им. А. Гайдара на Кинешемском шоссе,им. А. П. Гайдара
Центральная районная библиотека им. Г. Ибрагимова,им. Г. Ибрагимова
Модельная библиотека № 25 им. М. А. Осоргина,им. М. А. Осоргина
Центральная библиотека им. А. С. Пушкина г. Малая Вишера,им. А. С. Пушкина
Детская библиотека им. В. В. Бианки,им. В. В. Бианки
Центральная городская библиотека им. Светланы Кузнецовой,им. Светланы Кузнецовой
Библиотека № 9 им. А. М. Васнецова г. Кирова,им. А. М. Васнецова
Библиотека им. Н. А. Некрасова г. Новосибирска,им. Н. А. Некрасова
Центральная библиотека им. А. Ф. Орлова,им. А. Ф. Орлова
Городская библиотека им. В. М. Шукшина г. Сосновоборска,им. В. М. Шукшина
Городская библиотека-филиал № 3 им. М. Сеспеля,им. М. Сеспеля
Библиотека – Центр общения и информации им. И. Н. Григорьева,им. И. Н. Григорьева
Усть-Язьвинская сельская библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Центральная районная библиотека им. М. Горького п. Сосьва,им. М. Горького
Национальная детская библиотека Республики Коми им. С. Я. Маршака,им. С. Я. Маршака
Центральная библиотека им. Н. С. Клестова-Ангарского,им. Н. С. Клестова-Ангарского
Библиотечно-информационный центр им. В. Г. Еремина,им. В. Г. Еремина
