nosology_name,year,indicator_value
Шейка матки (C53),2007,13038
Шейка матки (C53),2008,13375
Шейка матки (C53),2009,13867
Шейка матки (C53),2010,14311
Шейка матки (C53),2011,14276
Шейка матки (C53),2012,14536
Шейка матки (C53),2013,14808
Шейка матки (C53),2014,15498
Шейка матки (C53),2015,15949
Шейка матки (C53),2016,16423
Шейка матки (C53),2017,16700
Шейка матки (C53),2018,16892
Шейка матки (C53),2019,16561
Шейка матки (C53),2020,14665
Шейка матки (C53),2021,14468
Шейка матки (C53),2022,14897
