name,dedication
Республиканская детская библиотека Республики Татарстан им. Роберта Миннуллина,им. Роберта Миннуллина
Межпоселенческая центральная библиотека им. А. Т. Черкасова,им. А. Т. Черкасова
Центральная детская библиотека им. Н. Островского,им. Н. А. Островского
Нердвинская библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Библиотечно-информационный центр им. П. И. Бартенева,им. П. И. Бартенева
Библиотека им. Г. Е. Юрова,им. Г. Е. Юрова
Центральная библиотека им. Героя Советского Союза А. Н. Пайкова п. Воскресенского,им. А. Н. Пайкова
Центральная районная библиотека им. А. С. Пушкина г. Нижний Новгород,им. А. С. Пушкина
"Библиотека им. Н. А. Некрасова, филиал № 5 г. Нижнего Новгорода",им. Н. А. Некрасова
Библиотека им. Л. Толстого,им. Л. Н. Толстого
Центральная городская библиотека им. Н. Крупской,им. Н. К. Крупской
Детская библиотека им. Д. Н. Мамина-Сибиряка,им. Д. Н. Мамина-Сибиряка
Модельная библиотека-филиал им. В. В. Маяковского,им. В. В. Маяковского
Библиотека семейного чтения им. А. Н. Кузнецова г. Орлова,им. А. Н. Кузнецова
Юрасовская сельская библиотека им. Н. И. Костомарова,им. Н. И. Костомарова
Центральная городская библиотека им. В. И. Муравленко,им. В. И. Муравленко
Библиотека № 6 им. К. И. Чуковского г. Саранска,им. К. И. Чуковского
Центральная библиотека им. К. А. Кислова п. Юрино,им. К. А. Кислова
Библиотека им. А. Штанько,им. А. Штанько
Калининская библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Центральная городская библиотека им. М. А. Шолохова,им. М. А. Шолохова
Центральная библиотека им. Л. А. Малюгина,им. Л. А. Малюгина
Библиотека семейного чтения им. В. Давыдова-Анатри г. Новочебоксарска,им. В. Давыдова-Анатри
Библиотека им. В. В. Маяковского,им. В. В. Маяковского
Библиотека им. А. А. Фета г. Орла,им. А. А. Фета
Филиал № 1 - библиотека им. П. П. Бажова г. Нижнего Новгорода,им. П. П. Бажова
Филатовская сельская библиотека им. Г. Н. Веговой,им. Г. Н. Веговой
Отдел «Общение» Центральной городской библиотеки им. А. М. Каутского,им. А. М. Каутского
Библиотека им. М. Горького,им. М. Горького
Сардыкская библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Алтайская краевая детская библиотека им. Н. К. Крупской,им. Н. К. Крупской
