nosology_name,year,indicator_value
Молочная железа (C50),2007,49986
Молочная железа (C50),2008,50418
Молочная железа (C50),2009,52157
Молочная железа (C50),2010,54872
Молочная железа (C50),2011,55184
Молочная железа (C50),2012,56154
Молочная железа (C50),2013,57307
Молочная железа (C50),2014,61376
Молочная железа (C50),2015,62230
Молочная железа (C50),2016,63436
Молочная железа (C50),2017,64798
Молочная железа (C50),2018,64544
Молочная железа (C50),2019,66990
Молочная железа (C50),2020,58804
Молочная железа (C50),2021,62729
Молочная железа (C50),2022,68297
