nosology_name,year,indicator_value
Предстательная железа (C61),2007,19201
Предстательная железа (C61),2008,20887
Предстательная железа (C61),2009,23845
Предстательная железа (C61),2010,24801
Предстательная железа (C61),2011,26795
Предстательная железа (C61),2012,27046
Предстательная железа (C61),2013,29158
Предстательная железа (C61),2014,34443
Предстательная железа (C61),2015,35540
Предстательная железа (C61),2016,34955
Предстательная железа (C61),2017,36725
Предстательная железа (C61),2018,38245
Предстательная железа (C61),2019,40986
Предстательная железа (C61),2020,33707
Предстательная железа (C61),2021,35428
Предстательная железа (C61),2022,42124
