name,dedication
Чистопольский филиал библиотеки для слепых им. Ш. К. Еникеева,им. Ш. К. Еникеева
Филиал Вологодской библиотеки им. И. В. Бабушкина,им. И. В. Бабушкина
Библиотека им. Маяковского – филиал № 3,им. В. В. Маяковского
Половодовская сельская библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Библиотека № 6 им. А. М. Колчанова,им. А. М. Колчанова
Библиотека-филиал № 6 им. В. В. Ходарева,им. В. В. Ходарева
Камчатская краевая детская библиотека им. В. Кручины,им. В. Кручины
Калининская библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Центральная городская библиотека им. А. М. Каутского,им. А. М. Каутского
Центральная библиотека им. И. И. Фешина,им. И. И. Фешина
Библиотека им. Ю. А. Адрианова г. Нижнего Новгорода,им. Ю. А. Адрианова
Черновская сельская библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Слудская библиотека им. А. В. Некрасова,им. А. В. Некрасова
Библиотека им. А. Н. Толстого Московского района Нижнего Новгорода,им. А. Н. Толстого
Библиотека № 10 им. С. А. Есенина,им. С. А. Есенина
Библиотека им. Ю. П. Кузнецова,им. Ю. П. Кузнецова
"Центр семейного чтения им. М. Трубиной, филиал № 4",им. М. Трубиной
Специализированная библиотека № 15 им. Н. Н. Благова,им. Н. Н. Благова
Библиотека им. А. С. Макаренко,им. А. С. Макаренко
Муниципальная библиотека им. Б. Машука,им. Б. Машука
Центральная детская библиотека № 46 им. И. З. Сурикова (филиал № 1),им. И. З. Сурикова
Красноярская городская библиотека им. А. Пушкина,им. А. С. Пушкина
Центральная городская библиотека им. Ф. А. Семенова г. Курска,им. Ф. А. Семенова
Красноярская городская библиотека им. Н. Добролюбова,им. Н. А. Добролюбова
Библиотека № 10 им. А. П. Гайдара,им. А. П. Гайдара
Ряжская городская библиотека № 2 им. В. Силкина,им. В. Силкина
Октябрьская библиотека № 2 им. Н. К. Жернакова,им. Н. К. Жернакова
Библиотека им. Г. С. Ларковича № 5,им. Г. С. Ларковича
Пишнурская сельская библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
