name,dedication
Центральная модельная библиотека им. М. Ю. Лермонтова г. Ефремов,им. М. Ю. Лермонтова
Иркутская областная библиотека им. И. И. Молчанова-Сибирского,им. И. И. Молчанова-Сибирского
Библиотеки им. Маяковского – филиал № 1,им. В. В. Маяковского
Республиканская специальная библиотека для слепых и слабовидящих им. Ш. К. Еникеева,им. Ш. К. Еникеева
Центральная библиотека им. А. Н. Островского,им. А. Н. Островского
Библиотека-филиал № 2 им. Е. И. Носова г. Курска,им. Е. И. Носова
Бородулинская библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Городская библиотека им. А. Р. Беляева,им. А. Р. Беляева
Библиотека им. А. М. Горького г. Екатеринбурга,им. А. М. Горького
Уинская центральная библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Районная детская библиотека им. С. В. Ягуповой,им. С. В. Ягуповой
Детская библиотека им. А. М. Береснева г. Кемерово,им. А. М. Береснева
Михайловская центральная детская библиотека им. Б. И. Вронского,им. Б. И. Вронского
Нытвенская городская библиотека им. Ф. Ф. Павленкова – филиал № 23,им. Ф. Ф. Павленкова
Библиотека им. братьев Стругацких,им. братьев Стругацких
Октябрьская библиотека № 2 им. Н. К. Жернакова,им. Н. К. Жернакова
Центральная районная библиотека им. С. С. Сурун-оола,им. С. С. Сурун-оола
Городская детская библиотека-филиал № 1 им. С. Я. Маршака,им. С. Я. Маршака
Жешартская библиотека им. С. А. Попова,им. С. А. Попова
Игринская центральная районная библиотека им. Кедра Митрея,им. Кедра Митрея
Детская библиотека им. К. М. Станюковича г. Нижнего Новгорода,им. К. М. Станюковича
Зеленецкая библиотека-филиал им. А. А. Лыюрова,им. А. А. Лыюрова
Библиотека им. Н. В. Волкова села Елового,им. Н. В. Волкова
Центральная городская библиотека им. А. Н. Арцибашева,им. А. Н. Арцибашева
Центральная городская библиотека им. А. М. Каутского,им. А. М. Каутского
Центральная городская библиотека им. Ф. М. Достоевского г. Назарово,им. Ф. М. Достоевского
Центральная детская библиотека им. А. П. Гайдара г. Каменск-Шахтинского,им. А. П. Гайдара
Просветительский центр им. С. Т. Аксакова «Аленький цветочек»,им. С. Т. Аксакова
Кабардино-Балкарская республиканская детская библиотека им. Бекмурзы Пачева,им. Бекмурзы Пачева
Центральная библиотека им. В. А. Пазухина г. Кинешмы,им. В. А. Пазухина
Детская библиотека им. Ю. А. Гагарина,им. Ю. А. Гагарина
Красноярская центральная городская детская библиотека им. Н. Островского,им. Н. А. Островского
Хлевищенская модельная библиотека им. Н. П. Рыжих,им. Н. П. Рыжих
Детская библиотека им. А. М. Матросова,им. А. М. Матросова
Любимская центральная библиотека им. А. С. Пушкина,им. А. С. Пушкина
Центральная районная библиотека им. Н. В. Гоголя г. Санкт-Петербурга,им. Н. В. Гоголя
Красноярская городская детская библиотека им. В. Дубинина,им. В. Дубинина
Городская детская библиотека им. В. Д. Давыдовой,им. В. Д. Давыдовой
Центральная детская библиотека им. Э. Д. Гольцмана,им. Э. Д. Гольцмана
Библиотека-филиал № 4 им. Е. И. Полянского г. Курска,им. Е. И. Полянского
Неволинская библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Центральная городская библиотека им. П. П. Бажова,им. П. П. Бажова
Центральная детская библиотека им. А. Г. Казаковой пгт. Емельяново,им. А. Г. Казаковой
Центральная городская библиотека им. М. Ю. Лермонтова г. Бородино,им. М. Ю. Лермонтова
Таловская центральная библиотека им. Е. П. Дубровина,им. Е. П. Дубровина
Библиотека для детей им. В. П. Астафьева г. Барыша,им. В. П. Астафьева
Библиотека р. п. им. Цюрупы,им. Цюрупы
Мухинская сельская библиотека им. В. А. Архипова,им. В. А. Архипова
Центральная городская детская библиотека им. А. П. Гайдара,им. А. П. Гайдара
Емецкая библиотека им. Н. М. Рубцова,им. Н. М. Рубцова
Библиотека им. А. Т. Твардовского г. Гвардейска,им. А. Т. Твардовского
Центральная городская библиотека им. Е. И. Носова,им. Е. И. Носова
Центральная районная библиотека им. И. П. Мордвинова,им. И. П. Мордвинова
Посадский отдел обслуживания им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Областная юношеская библиотека им. А. А. Суркова,им. А. А. Суркова
Новокинерская сельская библиотека им. Т. Миннуллина – филиал № 2,им. Т. Миннуллина
Центральная детская библиотека № 46 им. И. З. Сурикова (филиал № 2),им. И. З. Сурикова
Городская библиотека им. Е. Е. Аксеновой,им. Е. Е. Аксеновой
Центральная детская библиотека им. С. Маршака г. Бузулука,им. С. Я. Маршака
Детская библиотека им. А. К. Салтыкова,им. А. К. Салтыкова
Городская библиотека им. Ф. Н. Слепушкина,им. Ф. Н. Слепушкина
Детская библиотека им. К. И. Чуковского,им. К. И. Чуковского
Библиотека им. В. И. Даля г. Нижнего Новгорода,им. В. И. Даля
Библиотека им. А. Ф. Можайского,им. А. Ф. Можайского
Туртапинская сельская библиотека им. В. Л. Силаева,им. В. Л. Силаева
Библиотека им. В. В. Маяковского,им. В. В. Маяковского
Слободская городская библиотека им. А. Грина (отдел обслуживания),им. А. С. Грина
Библиотека № 17 им. Г. Я. Бакланова г. Воронежа,им. Г. Я. Бакланова
Библиотека семейного чтения им. А. Н. Кузнецова г. Орлова,им. А. Н. Кузнецова
Библиотека семейного чтения № 2 им. М. Горького,им. М. Горького
Новосильский библиотечный филиал им. А. А. Ростовцевой,им. А. А. Ростовцевой
Библиотека им. М. А. Шолохова г. Шахты,им. М. А. Шолохова
Библиотека № 12 им. Н. А. Некрасова,им. Н. А. Некрасова
Пермская краевая универсальная библиотека им. А. М. Горького,им. А. М. Горького
Центральная районная библиотека им. Д. А. Фурманова,им. Д. А. Фурманова
Уканская сельская библиотека им. Ф. Васильева Ярского района,им. Ф. И. Васильева
Центральная городская детская библиотека им. Н. К. Крупской,им. Н. К. Крупской
Центральная улусная модельная библиотека им. Н. М. Рыкунова,им. Н. М. Рыкунова
Яйвинская библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Центральная городская библиотека им. И. А. Новикова,им. И. А. Новикова
Филиал № 10 - библиотека им. М. И. Цветаевой,им. М. И. Цветаевой
Карачевская межпоселенческая районная библиотека им. Н. Н. и Н. В. Баранских,им. Н. Н. и Н. В. Баранских
Библиотека им. М. Шумилова (филиал № 8),им. М. Шумилова
Центральная городская детская библиотека им. С. Я. Маршака,им. С. Я. Маршака
Историко-краеведческая библиотека им. И. И. Василёва,им. И. И. Василёва
Библиотека № 7 им. А. П. Чехова г. Перми,им. А. П. Чехова
Библиотека им. А. П. Чехова г. Новочеркасска,им. А. П. Чехова
Александровск-Сахалинская центральная библиотека им. М. С. Мицуля,им. М. С. Мицуля
Центральная городская библиотека им. А. С. Пушкина,им. А. С. Пушкина
Областная детская библиотека им. И. А. Крылова,им. И. А. Крылова
Центральная районная библиотека им. А. С. Пушкина г. Санкт-Петербурга,им. А. С. Пушкина
"Библиотека им. Н. А. Некрасова, филиал № 5 г. Нижнего Новгорода",им. Н. А. Некрасова
Пушкарская сельская библиотека им. Т. Рыжовой,им. Т. Рыжовой
Библиотека им. С. А. Есенина г. Шахты,им. С. А. Есенина
Библиотека им. М. К. Волдиной с. Казым,им. М. К. Волдиной
Библиотека им. И. С. Тургенева г. Орла,им. И. С. Тургенева
Арбажская центральная библиотека им. А. П. Батуева,им. А. П. Батуева
Библиотека № 7 им. В. А. Закруткина,им. В. А. Закруткина
Библиотека № 3 им. Леонида Беспрозванного,им. Леонида Беспрозванного
Красноярская городская библиотека им. Н. Чернышевского,им. Н. Чернышевского
Клинская центральная детская библиотека им. А. П. Гайдара,им. А. П. Гайдара
"Библиотека № 17 им. А. Н. Радищева, г. Кострома",им. А. Н. Радищева
Молодежная библиотека им. А. С. Пушкина – филиал № 7,им. А. С. Пушкина
Библиотека им. Маяковского г. Зеленогорска,им. В. В. Маяковского
Емашинская сельская модельная библиотека им. Ф. Н. Баишева,им. Ф. Н. Баишева
Библиотека семейного чтения им. И. Зуева,им. И. Зуева
Библиотека № 16 им. Н. А. Добролюбова,им. Н. А. Добролюбова
Курская библиотека слепых им. В. С. Алёхина,им. В. С. Алёхина
Центральная библиотека им. В. В. Розанова г. Сергиев Посад,им. В. В. Розанова
Библиотека № 6 библиотечно-информационного центра им. П. П. Семенова-Тян-Шанского,им. П. П. Семенова-Тян-Шанского
Межпоселенческая библиотека Касторенского района им. В. Г. Гордейчева,им. В. Г. Гордейчева
Детская библиотека им. А. Чехова,им. А. П. Чехова
Центральная городская детская библиотека им. А. П. Гайдара г. Новочеркасска,им. А. П. Гайдара
Пукшинерская сельская библиотека-филиал – центр марийской культуры им. Йывана Кырля,им. Йывана Кырля
Центральная районная библиотека им. С. Ч. Самбуу,им. С. Ч. Самбуу
Центральная библиотека им. В. Т. Слипенчука с. Черниговка,им. В. Т. Слипенчука
Центральная районная библиотека им. Г. А. Пирожникова,им. Г. А. Пирожникова
Центральная детская библиотека им. Б. Васильева,им. Б. Л. Васильева
Библиотека № 17 им. Ф. Ф. Павленкова с. Фоки,им. Ф. Ф. Павленкова
Красноярская городская библиотека им. М. Булгакова,им. М. Булгакова
Нердвинская библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Центральная библиотека им. Г. Поротова,им. Г. Г. Поротова
Библиотека-филиал им. Ленинского комсомола,им. Ленинского комсомола
Кувинская сельская библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Детский отдел Центральной библиотеки им. К. А. Кислова,им. К. А. Кислова
Библиотека им. И. С. Тургенева г. Новосибирска,им. И. С. Тургенева
Лузская районная библиотека им. В. А. Меньшикова,им. В. А. Меньшикова
Красноярская городская библиотека им. И. Рождественского,им. И. Рождественского
Библиотека им. Л. Н. Толстого,им. Л. Н. Толстого
Библиотека № 183 им. Данте Алигьери,им. Данте Алигьери
Центральная библиотека им. Н. И. Кочина,им. Н. И. Кочина
Библиотека им. Н. Носова г. Новочебоксарска,им. Н. Н. Носова
Городская библиотека – филиал № 1 им. М. Бурангулова,им. М. Бурангулова
Библиотека им. П. Хузангая,им. П. Хузангая
Библиотека № 3 им. О. Ф. Берггольц г. Санкт-Петербург,им. О. Ф. Берггольц
Муниципальная детская библиотека им. П. С. Комарова,им. П. С. Комарова
Библиотека им. М. Е. Салтыкова-Щедрина,им. М. Е. Салтыкова-Щедрина
Красноярская городская библиотека семейного чтения им. Р. Солнцева,им. Р. Солнцева
Городская библиотека – филиал № 7 им. Некрасова,им. Н. А. Некрасова
Библиотека-филиал № 5 им. В. В. Вишневского,им. В. В. Вишневского
Центральная библиотека им. М. Н. Богданова г. Барыша,им. М. Н. Богданова
Филиал № 6 – библиотека им. Г. И. Успенского г. Нижнего Новгорода,им. Г. И. Успенского
Ромодановская центральная районная библиотека им. Н. Эркая,им. Н. Эркая
Опаринская центральная библиотека им. Н. А. Яхлакова,им. Н. А. Яхлакова
Библиотека им. М. Ю. Лермонтова,им. М. Ю. Лермонтова
Библиотека № 8 для детей и юношества им. А. П. Гайдара г. Кирова,им. А. П. Гайдара
Библиотека им. Д. Н. Мамина-Сибиряка,им. Д. Н. Мамина-Сибиряка
Центральная библиотека им. А. М. Горького,им. А. М. Горького
Зашижемская сельская библиотека им. Ю. С. Розадорского,им. Ю. С. Розадорского
Библиотека им. С. Т. Аксакова,им. С. Т. Аксакова
Центральная городская библиотека им. А. С. Пушкина г. Ачинска,им. А. С. Пушкина
Библиотека им. В. Дубинина,им. В. Дубинина
Турочакская центральная библиотека им. В. М. Башунова,им. В. М. Башунова
Красноярская городская детская библиотека им. М. Пришвина,им. М. М. Пришвина
Красноярская городская детская библиотека им. С. Михалкова,им. С. В. Михалкова
Центральная городская библиотека им. Гоголя,им. Н. В. Гоголя
Тумботинская поселковая библиотека им. В. В. Березина,им. В. В. Березина
Комаровская библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Библиотека им. А. И. Герцена г. Нижнего Новгорода,им. А. И. Герцена
Библиотека-филиал № 5 им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Билярская сельская библиотека им. Кул Гали,им. Кул Гали
Центральная городская детская библиотека им. И. А. Докукина,им. И. А. Докукина
Детская библиотека № 19 им. В. П. Стародумова г. Иркутска,им. В. П. Стародумова
