UUID,FILE,QUOTE_TRANSCRIPTION,ANCHOR,TYPE,URI,LAT,LNG,PLACE_TYPE,VERIFICATION_STATUS,TAGS,COMMENTS,GROUP_ID,GROUP_ORDER
52ed3398-a7ff-4ed9-a5cb-5603313e6495,Book 1,Mediterranean,char-offset:129493,PLACE,http://pleiades.stoa.org/places/1043,36.58019792933332,17.115361734666667,water-open,VERIFIED,,,,
1d4a6dee-25fb-43ea-b6f9-7ab282d1ba16,Book 2,Syria,char-offset:45562,PLACE,http://pleiades.stoa.org/places/981550,37.5,37.5,province,VERIFIED,,,,
e90786f9-b475-44b5-90c7-3e2a3f2d75a8,Book 2,Italy,char-offset:165026,PLACE,http://pleiades.stoa.org/places/992073,43.55087092641273,11.9539517875577,province,VERIFIED,,,,
3308cb59-f0dc-4d3f-859c-fd7b594a3aaa,Book 8,Thyrides,char-offset:81169,PLACE,http://pleiades.stoa.org/places/349636,,,unlocated,UNVERIFIED,,,,
35c7a326-e0a1-4897-a730-ad2163e482c2,Book 5,Setia,char-offset:74622,PLACE,http://pleiades.stoa.org/places/423068,41.49838,13.05924,"villa,settlement",VERIFIED,,,,
4eda3731-1576-482d-956f-6e253be85e59,Book 6,Acarnanians,char-offset:41479,PLACE,http://pleiades.stoa.org/places/530767,38.6722875,21.3178745,region,VERIFIED,,,,
8e9cd8a5-9548-4fda-a5b5-92a29062be2d,Book 5,Adriatic,char-offset:4913,PLACE,http://pleiades.stoa.org/places/1004,42.7752864,15.885196,water-open,VERIFIED,,,,
8f7a6f06-f0a8-4174-9af9-f8dcba7ef4cd,Book 4,Sabatorum Vada,char-offset:67966,PLACE,http://pleiades.stoa.org/places/383808,44.26949,8.4353,settlement,VERIFIED,,,,
ac86a0d6-21d8-4bdf-afa8-24a363b29448,Book 2,Dioscurias,char-offset:158675,PLACE,http://pleiades.stoa.org/places/857107,42.99535,41.0181,settlement,VERIFIED,,,,
34d8874d-b7ce-4606-beb4-90e2bbf57475,Book 2,Attica,char-offset:153336,PLACE,http://pleiades.stoa.org/places/579888,38.051998833333336,23.8189911,region,VERIFIED,,,,
776fee2d-4a7a-442f-b37e-011d3a7fc0b5,Book 13,Ida,char-offset:7777,PLACE,,,,,UNVERIFIED,,,,
