name,dedication
Детский информационный центр им. А. Гайдара,им. А. П. Гайдара
Дивногорская городская библиотека им. В. Г. Распутина,им. В. Г. Распутина
Коношская центральная районная библиотека им. Иосифа Бродского,им. И. Бродского
Детская библиотека № 10 им. М. М. Пришвина,им. М. М. Пришвина
Жерлыкская поселенческая библиотека им. И. Ф. Котляра,им. И. Ф. Котляра
Валуйский филиал Белгородской библиотеки для слепых им. В. Я. Ерошенко,им. В. Я. Ерошенко
Филиал № 7 – библиотека им. Ф. Э. Дзержинского г. Нижнего Новгорода,им. Ф. Э. Дзержинского
Библиотека-филиал им. М. В. Ломоносова г. Нижнего Новгорода,им. М. В. Ломоносова
Библиотека им. Н. А. Некрасова г. Новосибирска,им. Н. А. Некрасова
Городская библиотека им. Я. И. Бередникова – филиал № 1,им. Я. И. Бередникова
Детская библиотека им. А. П. Гайдара г. Орла,им. А. П. Гайдара
Библиотека им. Р. Солнцева,им. Р. Солнцева
Национальная библиотека им. А. С. Пушкина Республики Тыва,им. А. С. Пушкина
Филипповская библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Кайская сельская библиотека-филиал им. М. М. Синцова,им. М. М. Синцова
Морская библиотека-музей им. В. Г. Гузанова,им. В. Г. Гузанова
Специализированная библиотека № 22 им. М. Ю. Лермонтова г. Ульяновска,им. М. Ю. Лермонтова
Вожгальская сельская библиотека им. Ф. И. Шаляпина,им. Ф. И. Шаляпина
Красноярская городская библиотека им. А. Блока,им. А. А. Блока
Библиотека им. К. Симонова г. Дзержинска,им. К. Симонова
Лопатинская сельская библиотека им. В. А. Москвичёва,им. В. А. Москвичёва
Библиотека № 5 им. Николая Рубцова г. Санкт-Петербурга,им. Н. М. Рубцова
Детская библиотека им. Афанасия Никитина,им. Афанасия Никитина
Центральная городская библиотека им. А. В. Потаниной г. Иркутска,им. А. В. Потаниной
Залазнинская сельская библиотека им. И. В. Алфимова,им. И. В. Алфимова
Центральная городская библиотека им. В. В. Верещагина,им. В. В. Верещагина
Центральная городская библиотека им. А. И. Чечулина,им. А. И. Чечулина
Октябрьская библиотека им. Н. П. Гурьяновой,им. Н. П. Гурьяновой
Библиотека для детей № 16 им. Л. В. Дьяконова,им. Л. В. Дьяконова
Ставропольская краевая детская библиотека им. А. Е. Екимцева,им. А. Е. Екимцева
Нердвинская библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Библиотека-филиал № 11 им. Н. Ю. Корнеева г. Курска,им. Н. Ю. Корнеева
Старотушкинская сельская библиотека им. Л. А. Гребнева,им. Л. А. Гребнева
Библиотека – Центр общения и информации им. И. Н. Григорьева,им. И. Н. Григорьева
Новоусманская детская библиотека им. А. С. Пушкина,им. А. С. Пушкина
Кувинская сельская библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Усть-Сыновская сельская библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Библиотека-филиал № 14 им. В. Ф. Войно-Ясенецкого,им. В. Ф. Войно-Ясенецкого
Библиотека им. М. Горького г. Лесосибирска,им. М. Горького
Емашинская сельская модельная библиотека им. Ф. Н. Баишева,им. Ф. Н. Баишева
Центральная районная библиотека им. Б. Панина,им. Б. Панина
Библиотека им. Н. К. Крупской г. Краснодара,им. Н. К. Крупской
