name,dedication
Центральная районная детская библиотека им. А. В. Кольцова,им. А. В. Кольцова
Библиотека им. С. В. Михалкова,им. С. В. Михалкова
Филиал № 10 - библиотека им. М. И. Цветаевой,им. М. И. Цветаевой
Центральная районная библиотека им. Г. Ибрагимова,им. Г. Ибрагимова
Библиотека им. А. А. Фадеева г. Новосибирска,им. А. А. Фадеева
Центральная библиотека им. В. Т. Слипенчука с. Черниговка,им. В. Т. Слипенчука
Библиотека № 14 им. Б. А. Порфирьева,им. Б. А. Порфирьева
Сосногорская межпоселенческая центральная библиотека им. Я. М. Рочева,им. Я. М. Рочева
Центральная детская библиотека им. П. П. Бажова,им. П. П. Бажова
Верхнеуральская городская библиотека им. П. М. Кудряшева,им. П. М. Кудряшева
Свердловская областная библиотека для детей и молодежи им. В. П. Крапивина,им. В. П. Крапивина
Центральная детская библиотека им. А. П. Гайдара г. Минусинска,им. А. П. Гайдара
Библиотека семейного чтения им. А. С. Пушкина г. Дзержинска,им. А. С. Пушкина
Стрельская сельская библиотека – филиал им. В. Л. Волгина,им. В. Л. Волгина
Центральная районная библиотека им. А. С. Пушкина г. Санкт-Петербурга,им. А. С. Пушкина
Библиотека им. Л. А. Никоновой г. Новокузнецка,им. Л. А. Никоновой
Центральная городская библиотека им. М. Горького,им. М. Горького
Верхнетагильская городская библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Красноярская городская библиотека им. Ленинского комсомола,им. Ленинского комсомола
Детская библиотека им. А. П. Гайдара г. Курган,им. А. П. Гайдара
Библиотека № 3 им. Леонида Беспрозванного,им. Леонида Беспрозванного
Детско-юношеская библиотека им. И. С. Тургенева г. Новочеркасска,им. И. С. Тургенева
Библиотека им. В. В. Маяковского,им. В. В. Маяковского
Опочецкая районная библиотека им. А. С. Пушкина,им. А. С. Пушкина
Константиновская районная библиотека им. Ф. П. Крюкова,им. Ф. П. Крюкова
Центральная городская библиотека им. А. С. Пушкина города Туапсе,им. А. С. Пушкина
Детская библиотека № 16 им. Аллы Стародубовой,им. А. Стародубовой
Центральная библиотека им. А. П. Чехова г. Владивостока,им. А. П. Чехова
Залазнинская сельская библиотека им. И. В. Алфимова,им. И. В. Алфимова
Центральная городская библиотека им. Н. Байтерякова,им. Н. Байтерякова
Библиотечный центр «Дом семьи» им. Н. А. Заболоцкого,им. Н. А. Заболоцкого
Центральная городская библиотека им. А. И. Чечулина,им. А. И. Чечулина
Красноярская городская библиотека им. Т. Шевченко,им. Т. Г. Шевченко
Гляденская центральная сельская библиотека – филиал № 1 им. С. Д. Гуляева,им. С. Д. Гуляева
Библиотека им. М. А. Шолохова г. Новочеркасска,им. М. А. Шолохова
Колыванская детская библиотека им. Н. К. Крупской,им. Н. К. Крупской
Библиотека им. С. Кучина,им. С. Кучина
Центральная библиотека им. А. С. Пушкина г. Малая Вишера,им. А. С. Пушкина
Библиотека им. Н. К. Крупской г. Нижнего Новгорода,им. Н. К. Крупской
Культурный центр семейного чтения и досуга им. А. П. Гайдара,им. А. П. Гайдара
Детская библиотека им. А. П. Гайдара,им. А. П. Гайдара
Детская библиотека – филиал № 1 им. А. С. Пушкина г. Советская Гавань,им. А. С. Пушкина
Центральная детская и юношеская библиотека им. А. С. Пушкина г. Киржача,им. А. С. Пушкина
Центральная библиотека им. Г. Поротова,им. Г. Г. Поротова
Краснодарская краевая универсальная научная библиотека им. А. С. Пушкина,им. А. С. Пушкина
Детская библиотека № 1 им. В. Е. Сорочкина г. Брянска,им. В. Е. Сорочкина
Библиотека (универсальная) № 21 им. Н. М. Рубцова г. Сургута,им. Н. М. Рубцова
Красноярская городская библиотека им. А. Серафимовича,им. А. С. Серафимовича
Красноярская городская детская библиотека им. Л. Кассиля,им. Л. А. Кассиля
Библиотека-филиал им. В. Г. Короленко,им. В. Г. Короленко
