corpus,content,n_syllables,duration
Khislavichi,"Девчон=, ну, вы ж созвонитесь, девчата.",11,2.4200000000000728
Khislavichi,"Ну, ходили в соседние,",8,2.280000000000001
Khislavichi,"Мне примерно в церкви давали имя, батюшка.",14,2.723000000000013
Khislavichi,"Да, уже поздно. Ну, приедете, тогда  вот сюда  зай=...",16,3.1700000000000728
Khislavichi,[Широка]. Вышитое.,7,2.4479999999998654
Khislavichi,Да.,1,0.5300000000000296
Khislavichi,"Ну пока приехал,",6,1.4249999999999543
Khislavichi,"Как  это , Жене говорю:",8,1.599999999999909
Khislavichi,"И, а, то. В святые праздиник носили.",12,3.451999999999998
Khislavichi,"Богу помолишься коло этой могилочки, как можешь,",17,2.8699999999999974
Khislavichi,ти так я поступила ти не так?,10,2.009999999999991
Khislavichi,Воды наберёшь и рыбину домой принесёшь.,14,2.3099999999999454
Khislavichi,И земельную. И земельную работу и.,14,3.17999999999995
Khislavichi,"Ещё я знаю, это самое.",10,1.6670000000000016
Khislavichi,Дядька был.,3,1.17999999999995
Khislavichi,"эти , то приходят эти ,",8,2.5649999999999977
Khislavichi,"Да, одна ходила, никого с собой не брала.",14,2.680000000000007
Khislavichi,Наши родители. Если... да.,9,2.109999999999957
Khislavichi,Наварила чай этой корове.,10,2.27800000000002
Khislavichi,"как они , всякими пищевые, а раньше",13,2.983000000000004
Khislavichi,правильно сделал или неправильно?,11,1.7799999999999727
Khislavichi,"к чему это что за пры=, что за деревня. Может, в честь чего называли, а теперь",24,4.360000000000014
Khislavichi,"И даже если невеста законная, всё равно должна раз= мужа,",20,4.447000000000116
Khislavichi,"большинство к нам эти приходили, потому что мама всегда их,",19,2.8299999999999272
Khislavichi,"У кого какая-то, вот что картошку посеем.",15,2.78400000000002
Khislavichi,"чтоб всё велось, и скот, и всё, и куры, всё, скотина вся велась.",18,4.352000000000089
Khislavichi,"обычай будет, шёл  к жениху.",9,2.247
Khislavichi,"Да, есть колхоз. Мои дочки работают доярками в колхозе.",19,3.4220000000000255
Khislavichi,"теленок под поликом и куры под печкой. Такая печка была сделана. Сначала из дерева делали, потом печку стлали, ну, кирпич клали.",44,6.941000000000031
Khislavichi,"Теперь уже от нас, я ж вам говорила тогда , что в Гуте у нас эта , теперь у нас в Жанвили. Ну, сами мололи.",34,5.350000000000023
Khislavichi,А что надо? Ага.,6,1.840000000000032
Khislavichi,"Остальных убе=, не, кошечку эту оставлю.",14,2.370999999999981
Khislavichi,мне похрену этот  колхоз. Никто.,10,2.147999999999911
Khislavichi,"Нам каб кто дал лишнюю конфетку. Как раньше жили, я говорю.",19,3.2229999999999848
Khislavichi,"И само, и сам будешь спокоен, потому что.",14,2.326999999999998
Khislavichi,"Может, где у кого и ночевали. Ну, не знаю. У нас,",17,2.8199999999999363
Khislavichi,А детки есть хотят.,6,1.22199999999998
Khislavichi,"корову трогаете, корова становится, как, знаете, как кто за ней гонялся, мокрая вся.",29,5.265999999999963
Khislavichi,эта  так вот трошку откатилось на шаг на какой  и пропала.,19,3.9700000000000273
Khislavichi,И остался там.,5,0.9800000000000182
Khislavichi,"Говорит, тут  к в= сюда  к вам подпол= ползла, одна расска=.",15,3.5
Khislavichi,"Иди, иди своими детками. На, на. Твой лялик.",15,2.9850000000000136
Khislavichi,"Раньше и жили как-то мы в деревне,",11,2.3519999999999968
Khislavichi,"Я попала в аварию, и я, мне было по санаториям ездить, меня оставили там одну уже, без родителей.",37,5.326000000000022
Khislavichi,"А там уже девят=, там была полностью школа, ну, там уже десятый, девятый, десятый, одиннадцатый.",32,6.552999999999997
Khislavichi,В какую-то кучу залезла.,9,1.8799999999999957
Khislavichi,"Дрова у меня сосед, лишний ком закажу, он привезёт. Вот две телеги привёз.",24,4.454999999999927
Khislavichi,"И эти , а потом отмеряли.",10,2.290999999999997
