UUID,FILE,QUOTE_TRANSCRIPTION,ANCHOR,TYPE,URI,VOCAB_LABEL,VOCAB_TEMPORAL_BOUNDS,LAT,LNG,PLACE_TYPE,VERIFICATION_STATUS,TAGS,COMMENTS,GROUP_ID,GROUP_ORDER
abfdbebe-53e1-41c1-9754-8768048d13e7,Book 6,Tauromenium,char-offset:33054,PLACE,http://pleiades.stoa.org/places/462506,"Tauromenium|Tauromenium, Taormina",-0550/2100,37.852313,15.292111,"theatre,settlement",VERIFIED,,,,
ba2e0312-dabd-407a-8fe0-5f8b655f30a5,Book 6,Agathyrnum,char-offset:26856,PLACE,http://pleiades.stoa.org/places/462079,"Agathyrnum|Agathyrnum, Capo d'Orlando",-0550/0640,38.164099,14.749006,settlement,VERIFIED,,,,
b946d28c-8c8e-4335-9200-ad079e02b1d7,Book 5,Hormiæ,char-offset:63496,PLACE,http://pleiades.stoa.org/places/432839,"Formiae|Formiae, Formia",-0330/0640,41.256351,13.605914,"amphitheatre,theatre,settlement,tomb",VERIFIED,,,,
790ec5df-3f55-4ca6-859d-92077208c69c,Book 5,Italy,char-offset:21663,PLACE,http://pleiades.stoa.org/places/992073,Italia (Diocese),,43.55087092641273,11.9539517875577,province,VERIFIED,,,,
1ae1faf7-0947-4a10-80ce-1228dd182ede,Book 5,Strait of Sicily,char-offset:234,PLACE,http://pleiades.stoa.org/places/462494,Siculum Fretum,-0330/2100,38.260268,15.660384,water-open,VERIFIED,,,,
a8aa161d-4541-4523-9626-807f58a91ce4,Book 8,Laconia,char-offset:48049,PLACE,http://sws.geonames.org/3489829,Lacovia,,18.0721,-77.75059,,UNVERIFIED,,,,
844ff4c2-6829-4f8b-b6c4-f39c4fb2b2c9,Book 2,Italy,char-offset:152666,PLACE,http://pleiades.stoa.org/places/992073,Italia (Diocese),,43.55087092641273,11.9539517875577,province,VERIFIED,,,,
7f8640a9-4470-42e4-8c6c-685ae7c6daf8,Book 13,Parium,char-offset:19307,PLACE,http://sws.geonames.org/137397,,,,,,UNVERIFIED,,,,
7ed056e7-92b8-45a9-8c0c-d7b379c25783,Book 6,Thermessa,char-offset:54048,PLACE,http://pleiades.stoa.org/places/462242,"Hiera (Hephaistou) (island)|Hiera Ins./Hephaistou Ins., Isola di Vulcano",-0550/2100,38.38338,14.99105,island,VERIFIED,,,,
7f503d76-f0da-4c85-8aea-fb21d8668519,Book 8,Pylus,char-offset:54209,PLACE,,,,,,,UNVERIFIED,,,,
85bdd6de-7896-41e6-95e5-065be30884e2,Book 15,Persia,char-offset:185,PLACE,http://sws.geonames.org/4648866,,,,,,UNVERIFIED,,,,
3d20ee6c-6e8b-4be7-9e64-f95109bfa14e,Book 13,Granicus,char-offset:3692,PLACE,http://pleiades.stoa.org/places/511260,Granicus (river),-0750/0300,40.30671,27.2716339,river,UNVERIFIED,,,,
3777a985-9429-4696-bc41-0071eabd013d,Book 5,Palatium,char-offset:72173,PLACE,http://sws.geonames.org/3171655,,,,,,VERIFIED,,,,
fc6e45c6-55e8-4ba8-b315-23d9c675efc6,Book 8,Olenian rock,char-offset:27234,PLACE,http://sws.geonames.org/5373887,,,,,,UNVERIFIED,,,,
d7cf88f5-bcb1-46c1-8fd3-281478a4066b,Book 2,Caspian Gates,char-offset:63414,PLACE,http://pleiades.stoa.org/places/903004,"Caspiae Portae?|Caspiae Portae?, Sar Darreh pass, Aivaneki",-0550/0300,35.27617,52.1696,pass,VERIFIED,,,,
870388ae-7d53-4a34-98d9-3afa6d473921,Book 5,Po,char-offset:9150,PLACE,http://pleiades.stoa.org/places/393469,"Padus/Eridanus (river)|Padus/Eridanus, Po",-0330/0640,44.952389,12.432028,river,VERIFIED,,,,
338a0479-b8f2-449a-b2e7-617124803912,Book 4,Marseilles,char-offset:5050,PLACE,http://pleiades.stoa.org/places/148127,"Massalia/Massilia|Massalia/Massilia, Marseille|Marseille",-0750/2100,43.299467,5.365307,settlement,VERIFIED,,,,
0a4cb675-75d6-4be3-ab2b-6bd245b666c1,Book 5,Vercelli,char-offset:23294,PLACE,http://pleiades.stoa.org/places/383815,"Vercellae|Vercellae, Vercelli|Vercelli",-0550/2100,45.321,8.4263,settlement,VERIFIED,,,,
26c1f42f-ca9f-4250-87da-246f46b1ec95,Book 5,Castrum,char-offset:84160,PLACE,http://pleiades.stoa.org/places/413073,"Castrum Novum|Castrum Novum, Giulianova|Giulianova",-0330/0640,42.73829,13.96839,settlement,VERIFIED,,,,
4e719e1c-09a6-4bef-80e2-bb744462ad69,Book 2,Dnieper,char-offset:107988,PLACE,http://pleiades.stoa.org/places/226544,Borysthenes (river),-0750/0640,51.80271566666667,32.013616533333334,river,VERIFIED,,,,
f5f05b00-6db5-4c26-8ec0-db2130bfecea,Book 8,Europe,char-offset:610,PLACE,,,,,,,UNVERIFIED,,,,
3e2378dc-19d1-4ba3-8e94-177770fae793,Book 8,Pisatis,char-offset:64113,PLACE,http://pleiades.stoa.org/places/570613,Pisatis,-0750/-0330,37.75,21.75,region,UNVERIFIED,,,,
10ef7812-312c-4068-9b83-6bc0175cf235,Book 6,Crotoniatæ,char-offset:24703,PLACE,http://pleiades.stoa.org/places/452317,"Croto(n)|Temple of Hera Lacinia|Hera, Capo Colonna, Crotone|Croton/Croto, Crotone",-0750/0640,39.028864,17.205128,"city-wall,sanctuary,settlement",VERIFIED,,,,
70126e87-8385-49a2-b6cc-664bc9770b22,Book 2,Gulf of Corinth,char-offset:153095,PLACE,http://pleiades.stoa.org/places/570181,Corinthiacus Sinus,,38.17540705,22.395744800000003,water-open,VERIFIED,,,,
cc24aae3-b171-4563-9eaf-d729e25a8094,Book 2,Cnidus,char-offset:141903,PLACE,http://pleiades.stoa.org/places/599575,"Cnidus|Cnidus|Knidos/Cnidus, Tekir|Cnidus, Burgaz örenyeri",-0750/0640,36.686188,27.37404,settlement,VERIFIED,,,,
8221ed19-7fb7-4434-b634-dcc4e082b252,Book 3,Artabri,char-offset:46952,PLACE,http://pleiades.stoa.org/places/236343,Artabri/Arrotrebae,-0330/0300,43.5,-8.5,people,VERIFIED,,,,
f6ebba7e-3689-46d0-9680-43b600fa696d,Book 4,Nicæa,char-offset:21054,PLACE,http://pleiades.stoa.org/places/157894,"Nicaea|Nicaea, Nice|Nice",-0750/0640,43.70325,7.26571,settlement,VERIFIED,,,,
8a369451-bb6a-4e81-a2f6-fe4f3b261f82,Book 4,Marseilles,char-offset:20033,PLACE,http://pleiades.stoa.org/places/148127,"Massalia/Massilia|Massalia/Massilia, Marseille|Marseille",-0750/2100,43.299467,5.365307,settlement,VERIFIED,,,,
737d24b9-68bf-4047-a823-15a3086a8544,Book 3,Iberia,char-offset:59193,PLACE,http://pleiades.stoa.org/places/992072,Hispaniae,,37.5,-7.5,province,VERIFIED,,,,
2f905ef6-051f-4f5f-a676-01d81e30aba3,Book 15,India,char-offset:30800,PLACE,http://sws.geonames.org/146588,,,,,,UNVERIFIED,,,,
b60c7b85-bdfd-492d-b342-13ab0e17e728,Book 3,Pyrenees,char-offset:65766,PLACE,http://pleiades.stoa.org/places/246582,"Pyrenaei (mountains)|Pyrenaei Mons, Pyrenees Mts.",-0330/2100,42.67,1,mountain,VERIFIED,,,,
057fb13b-0a56-4f34-9f38-c0c2c8ed2a36,Book 8,river Selleis,char-offset:16973,PLACE,,,,,,,UNVERIFIED,,,,
0394af13-8db8-4cc9-b37d-534963841673,Book 6,Ætna,char-offset:33231,PLACE,http://pleiades.stoa.org/places/462077,"Aetna M.|Aetna Mons, Etna",-0750/0640,37.751113,14.9958286,mountain,VERIFIED,,,,
dfbc0586-4541-437b-b58f-e9344a5d7cb4,Book 5,Rome,char-offset:49276,PLACE,http://pleiades.stoa.org/places/423025,"Roma|Roma, Roma|Rome",-0750/2100,41.89262,12.4843457,"settlement,urban",VERIFIED,,,,
9909cda6-868d-49b0-92f8-6cd48506f0b6,Book 4,Pyrenees,char-offset:1414,PLACE,http://pleiades.stoa.org/places/246582,"Pyrenaei (mountains)|Pyrenaei Mons, Pyrenees Mts.",-0330/2100,42.67,1,mountain,VERIFIED,,,,
870ca603-96db-4213-a132-5f68e3a0f5c2,Book 13,Abydos,char-offset:25611,PLACE,http://pleiades.stoa.org/places/494527,Abydon/Amydon,-0550/-0330,,,unlocated,UNVERIFIED,,,,
a222790c-6e2d-4d98-a334-29f9c8ed1d69,Book 8,Corinthian Gulf,char-offset:10621,PLACE,http://sws.geonames.org/6342952,,,,,,UNVERIFIED,,,,
4dfb0302-4393-43db-a496-5941ab027d4a,Book 9,Greece,char-offset:121875,PLACE,http://sws.geonames.org/4800037,,,,,,UNVERIFIED,,,,
c5a5b1aa-6980-42c3-8eaa-41dd6bdceecd,Book 5,Tyrrhenia,char-offset:33714,PLACE,http://pleiades.stoa.org/places/413122,Etruria/Tuscia,-0750/0640,42.42102874792005,11.752744124826158,region,VERIFIED,,,,
8fe3c3ea-902c-4eaa-a5a8-7523cf923e77,Book 2,Keltica,char-offset:12454,PLACE,,,,,,,NOT_IDENTIFIABLE,,,,
a9b464fd-1850-4ea8-bb68-531fd6f2eb5f,Book 6,river Inopus,char-offset:41677,PLACE,,,,,,,NOT_IDENTIFIABLE,,a river on Delos,,
48f2c89f-adc7-4f72-9b34-c41fc23dc701,Book 2,Meroe,char-offset:174311,PLACE,http://pleiades.stoa.org/places/805630,"Meroe|Meroe, Begrawiya",-0550/2100,16.94,33.75,settlement,VERIFIED,,,,
9695634b-9d8f-4373-9b4b-54e3a48ea112,Book 3,Islands of the Blessed,char-offset:38315,PLACE,,,,,,,NOT_IDENTIFIABLE,,,,
523dacc6-43e1-4d32-bd01-8fff94e7fff3,Book 13,Hamaxitus,char-offset:61370,PLACE,,,,,,,UNVERIFIED,,,,
